ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0000899243-16-036475	/s/ David A. Frank, Name: David A. Frank, attorney-in-fact	30-DEC-2016
0000899243-16-036473	/s/ David A. Frank, Name: David A. Frank, attorney-in-fact	30-DEC-2016
0000899243-16-036472	/s/ David A. Frank, Name: David A. Frank, attorney-in-fact	30-DEC-2016
0000899243-16-036469	/s/ David A. Frank, Name: David A. Frank, attorney-in-fact	30-DEC-2016
0001569608-16-000080	Alexander Washburn	30-DEC-2016
0000899243-16-036468	/s/ Ryan Murr, as attorney-in-fact for George F. Tidmarsh	29-DEC-2016
0000899243-16-036466	/s/ David A. Frank, Name: David A. Frank	30-DEC-2016
0000899243-16-036463	/s/ David A. Frank, Name: David A. Frank, attorney-in-fact	30-DEC-2016
0000899243-16-036462	/s/ David A. Frank, Name: David A. Frank, attorney-in-fact	30-DEC-2016
0000899243-16-036460	/s/ David A. Frank, Name: David A. Frank, attorney-in-fact	30-DEC-2016
0001305773-16-000072	/s/ David Cerveny, Attorney-in-Fact	30-DEC-2016
0000899243-16-036455	/s/ David A. Frank, Name: David A. Frank, attorney-in-fact	30-DEC-2016
0000899243-16-036453	/s/ David A. Frank, Name: David A. Frank, attorney-in-fact	30-DEC-2016
0001209191-16-157128	/s/ James A. Fitzgerald, Attorney-in-fact	30-DEC-2016
0001209191-16-157126	/s/ James A. Fitzgerald, Attorney-in-fact	30-DEC-2016
0001305773-16-000070	/s/ David Cerveny, Attorney-in-Fact	30-DEC-2016
0001106191-16-000043	/S/ Philip J. Meyers	30-DEC-2016
0001140361-16-091275	/s/  Randal J. Kirk	30-DEC-2016
0001140361-16-091273	/s/  Randal J. Kirk	30-DEC-2016
0001140361-16-091273	/s/  Randal J. Kirk, CEO of Intrexon Corporation	30-DEC-2016
0000947871-16-001824	/s/ Jennifer Robles, by Power of Attorney	30-DEC-2016
0001209191-16-157124	/s/ Geoff Williams, as Attorney-in-Fact	30-DEC-2016
0001209191-16-157123	/s/ Geoff Williams, as Attorney-in-Fact	30-DEC-2016
0001209191-16-157122	/s/ Geoff Williams, as Attorney-in-Fact	30-DEC-2016
0001209191-16-157121	/s/ Geoff Williams, as Attorney-in-Fact	30-DEC-2016
0001209191-16-157120	/s/ Geoff Williams, as Attorney-in-Fact	30-DEC-2016
0001209191-16-157119	/s/ Geoff Williams, as Attorney-in-Fact	30-DEC-2016
0001209191-16-157118	/s/ Geoff Williams, as Attorney-in-Fact	30-DEC-2016
0001209191-16-157117	/s/ Geoff Williams, as Attorney-in-Fact	30-DEC-2016
0000899243-16-036447	/s/ Bradley L. Wideman, by power of attorney	30-DEC-2016
0001104659-16-164632	/s/ Shelly O'Brien, by power of attorney for Joshua Mayer	30-DEC-2016
0001140361-16-091269	/s/ Norris Nissim, as General Counsel of Luxor Management, LLC, General Partner of Luxor Capital Group, LP	30-DEC-2016
0001038133-16-000345	By: Jason A. Napolitano  For: Michael McGinley	30-DEC-2016
0001140361-16-091267	/s/ Norris Nissim, as General Counsel of Luxor Management, LLC, General Partner of Luxor Capital Group, LP	30-DEC-2016
0001127602-16-071092	/s/ Lorraine P Guzman, attorney-in-fact for Mr. Keven F Camacho	31-DEC-2016
0001073429-16-000511	/s/ CiCi Sepehri, as Attorney-in-Fact for Kurt Matthew Cellar	30-DEC-2016
0001140361-16-091266	/s/ Norris Nissim, as General Counsel of Luxor Management, LLC, General Partner of Luxor Capital Group, LP	30-DEC-2016
0001038133-16-000344	By: Jason A. Napolitano  For: Nancy Wisnewski	30-DEC-2016
0001127602-16-071090	/s/ Lorraine P Guzman, attorney-in-fact for Francisco M Atalig	31-DEC-2016
0001144204-16-141985	/s/ Nathalie Auber, Attorney-in-Fact for Michael Powell	30-DEC-2016
0001038133-16-000343	By: Jason A. Napolitano  For: Steve Asakowicz	30-DEC-2016
0001038133-16-000342	By: Jason A. Napolitano  For: Rod Lippincott	30-DEC-2016
0001038133-16-000341	By: Jason A. Napolitano  For: John McMahon	30-DEC-2016
0001038133-16-000340	/s/ Jason A. Napolitano	30-DEC-2016
0001038133-16-000339	By: Jason A. Napolitano  For: Steven M Eyl	30-DEC-2016
