ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001179110-12-018371	/s/ Justin Judd, as attorney-in-fact	31-DEC-2012
0001179110-12-018369	/s/Justin Judd, as attorney-in-fact	31-DEC-2012
0001179110-12-018367	/s/ Justin Judd, as attorney-in-fact	31-DEC-2012
0001144204-12-070370	/s/ Jeffrey R. Sprain, as attorney-in-fact	31-DEC-2012
0001144204-12-070368	/s/ Jeffrey R. Sprain, as attorney-in-fact	31-DEC-2012
0001082906-12-000045	Frederic D. Fenton  Authorized signatory for John L. Drew	31-DEC-2012
0001082906-12-000045	Frederic D. Fenton  Authorized signatory for Jon Q. Reynolds, Jr.	31-DEC-2012
0001082906-12-000045	Frederic D. Fenton  Authorized signatory for Richard H. Kimball	31-DEC-2012
0001082906-12-000045	Frederic D. Fenton  Authorized signatory for Jay C. Hoag	31-DEC-2012
0001144204-12-070366	Jeffrey R. Sprain, as attorney-in-fact	31-DEC-2012
0001144204-12-070364	/s/ Jeffrey R. Sprain, as attorney-in-fact	31-DEC-2012
0001437749-12-013339	/s/ Julie M. Regnier, as Attorney-in-Fact for Sally J. Smith	31-DEC-2012
0001278521-12-000058	/s/ T. M. Williams	31-DEC-2012
0001127855-12-000733	/s/ Hayden Trubitt, attorney-in-fact for Stephen D. Baksa	31-DEC-2012
0000769993-12-000674	/s/ Beverly L. O'Toole, Attorney-in-fact	31-DEC-2012
0000769993-12-000673	/s/ Beverly L. O'Toole, Attorney-in-fact	31-DEC-2012
0000769993-12-000672	/s/ Beverly L. O'Toole, Attorney-in-fact	31-DEC-2012
0000769993-12-000671	/s/ Beverly L. O'Toole, Attorney-in-fact	31-DEC-2012
0000769993-12-000670	/s/ Beverly L. O'Toole, Attorney-in-fact	31-DEC-2012
0000769993-12-000669	/s/ Beverly L. O'Toole, Attorney-in-fact	31-DEC-2012
0000769993-12-000668	/s/ Beverly L. O'Toole, Attorney-in-fact	31-DEC-2012
0000769993-12-000667	/s/ Beverly L. O'Toole, Attorney-in-fact	31-DEC-2012
0001127602-12-035320	/s/ Ava Hahn, attorney-in-fact for Mr. Thompson	31-DEC-2012
0000769993-12-000666	/s/ Beverly L. O'Toole, Attorney-in-fact	31-DEC-2012
0001127602-12-035319	/s/Ava Hahn, attorney-in-fact for Mr. Kissner	31-DEC-2012
0001127602-12-035318	Ava Hahn, attorney-in-fact for Mr. Gregoire	31-DEC-2012
0000769993-12-000665	/s/ Beverly L. O'Toole, Attorney-in-fact	31-DEC-2012
0001127602-12-035317	/s/ Ava Hahn, attorney-in-fact for Mr. Denman	31-DEC-2012
0001127602-12-035316	/s/ Ava Hahn, attorney-in-fact for Mr. Daichendt	31-DEC-2012
0001181431-12-067679	/s/ David V. Christopherson as attorney-in-fact for Jurgen W. Link	31-DEC-2012
0001127602-12-035315	/s/Ava Hahn, attorney-in-fact for Mr. Bregman	31-DEC-2012
0001181431-12-067678	/s/ Daniel P. Glennon As attorney-in-fact for Thomas A. Saunders III	31-DEC-2012
0001181431-12-067677	/s/ Brett Lund	31-DEC-2012
0000857855-12-000082	/s/Lois J. Rich as Attorney in Fact	31-DEC-2012
0001179110-12-018365	/s/George P. Orban	28-DEC-2012
0001181431-12-067675	/s/ Daniel P. Glennon as attorney-in-fact for F. Barron Fletcher III	31-DEC-2012
0001181431-12-067674	/s/ Daniel P. Glennon As attorney-in-fact for Robert J. Dennis	31-DEC-2012
0001144204-12-070358	/s/ David Weiner	31-DEC-2012
0001144204-12-070358	/s/ David Weiner, Chief Investment Officer and Sole Member, VERTIGO MANAGEMENT LLC	31-DEC-2012
0001144204-12-070358	/s/ David Weiner, Chief Investment Officer and Sole Member, Vertigo Management LLC, as General Partner, VERTIGO CAPITAL L.P.	31-DEC-2012
0001209191-12-059813	/s/ Jordan B. Edwards, Attorney-in-fact	31-DEC-2012
0001140361-12-053177	/s/ Robert E. Marsh as Attorney-in-Fact	31-DEC-2012
0001467373-12-000279	/s/ Kathryn Lloyd, Attorney-in-Fact for William D. Green	31-DEC-2012
0001467373-12-000278	/s/ Kathryn Lloyd, Attorney-in-Fact for William D. Green	31-DEC-2012
0001179110-12-018363	/s/ Walter D. Hosp by Power of Attorney for Bart M. Schwartz	31-DEC-2012
0000857855-12-000081	/s/Lois J. Rich as Attorney in Fact	31-DEC-2012
0001181431-12-067673	/s/ Daniel P. Glennon as attorney-in-fact for SKM Equity Fund III, LP	31-DEC-2012
0000857855-12-000080	/s/Lois J. Rich as Attorney in Fact	31-DEC-2012
0001179110-12-018361	/s/ Walter D. Hosp by Power of Attorney for Richard H. Stowe	31-DEC-2012
0001181431-12-067672	/s/ Daniel P. Glennon As attorney-in-fact for John E. Kyees	31-DEC-2012
0001181431-12-067671	/s/ Daniel P. Glennon	31-DEC-2012
0001181431-12-067669	/s/ Daniel P. Glennon as attorney-in-fact for Michael J. Nevins	31-DEC-2012
0001140361-12-053175	David M. DeMedio	31-DEC-2012
0001360865-12-000306	Peter Brennan	31-DEC-2012
0001365038-12-000087	/s/ Daniel J. Weinrot, By: Daniel J. Weinrot as Attorney-in-Fact for Michael L. Blend	31-DEC-2012
0001140361-12-053173	/s/ Stephen P. Herbert	31-DEC-2012
0001181431-12-067668	/s/ David V. Christopherson	31-DEC-2012
0001437749-12-013338	/s/ Bracken, George R.	31-DEC-2012
0001181431-12-067667	/s/ Andrew S. McLelland, attorney-in-fact	31-DEC-2012
0001181431-12-067666	/s/ Daniel P. Glennon as attorney-in-fact for Peter M. Luckhurst	31-DEC-2012
0001209191-12-059812	Stephen V. R. Whitman, attorney-in-fact for William C. Stone	31-DEC-2012
0001181431-12-067665	/s/ Daniel P. Glennon as attorney-in-fact for Andrew T. Mack	31-DEC-2012
0001209191-12-059811	Stephen V. R. Whitman, attorney-in-fact for Normand A. Boulanger	31-DEC-2012
0000350852-12-000108	Krishna M. Malempati By: Marilyn T. Justice, Attorney-in-Fact	31-DEC-2012
0001209191-12-059810	Stephen V. R. Whitman, attorney-in-fact for Patrick J. Pedonti	31-DEC-2012
0001104659-12-086952	/s/ Steve Dean, by power of attorney	31-DEC-2012
0001228924-12-000032	Steven W. Peterson	31-DEC-2012
0001127602-12-035314	/s/ Jennifer F. Rudolph, by Power of Attorney	31-DEC-2012
