ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001144204-12-070366	1168285	Common Stock, par value $0.01	F1			36666.0	F1			I		By NELL Partners, Inc.	
0001144204-12-070364	1192051	Common Stock, par value $0.01				31258.0				I		By Spouse	
0001144204-12-070364	1192050	Common Stock, par value $0.01				381.0				I		By 2003 Children's Trust	F1
0001144204-12-070364	1192052	Common Stock, par value $0.01	F2			36666.0	F2			I		By Nell Partners, Inc.	
0001437749-12-013339	1074480	Common Stock				400.0				I		By Daughter	
0001278521-12-000058	1170470	Common Stock				15117465.0				I		Discretionary Trust	F3
0000769993-12-000674	1117793	Common Stock, par value $0.01 per share				9514.0				I		See footnote	F4
0000769993-12-000674	1117792	Common Stock, par value $0.01 per share				81906.0				I		See footnote	F3
0000769993-12-000673	1106954	Common Stock, par value $0.01 per share				5323.0				I		See footnote	F3
0000769993-12-000672	1202374	Common Stock, par value $0.01 per share				19660.0				I		See footnote	F3
0000769993-12-000671	1143464	Common Stock, par value $0.01 per share				6232.0				I		See footnote	F3
0000769993-12-000670	1205723	Common Stock, par value $0.01 per share				52041.0				I		See footnote	F3
0000769993-12-000668	1047136	Common Stock, par value $0.01 per share				186022.0				I		See footnote	F4
0000769993-12-000668	1047137	Common Stock, par value $0.01 per share				37000.0				I		See footnote	F5
0000769993-12-000668	1047135	Common Stock, par value $0.01 per share				21194.0				I		See footnote	F3
0000769993-12-000667	1172370	Common Stock, par value $0.01 per share				99662.0				I		See footnote	F4
0000769993-12-000667	1172369	Common Stock, par value $0.01 per share				123186.0				I		See footnote	F3
0000769993-12-000666	1193189	Common Stock, par value $0.01 per share				37211.0				I		See footnote	F4
0000769993-12-000666	1193188	Common Stock, par value $0.01 per share				141165.0				I		See footnote	F3
0000769993-12-000665	1168725	Common Stock, par value $0.01 per share				342331.0				I		See footnote	F3
0000857855-12-000082	1090177	Common Stock (Restricted Stock Units)				150000.0				D			
0001179110-12-018365	1041129	Common Stock				63700.0				I		by Son	F5
0001179110-12-018365	1041128	Common Stock				24500.0				I		by Daughter Sophie	F3
0001179110-12-018365	1041127	Common Stock				63700.0				I		by Daughter	F1
0001144204-12-070358	1168997	Common Stock				112400.0	F3			D		As custodian for children	
0001144204-12-070358	1168999	Common Stock				85900.0	F5			I			
0001144204-12-070358	1168996	Common Stock				2121732.0	F1			D	F2	By wife	
0001144204-12-070358	1168998	Common Stock				8000.0	F4			I			
0001209191-12-059813	1115472	Common units representing limited partner interests				500000.0				I		By the Mardeen A. Olmstead Revocable Living Trust	F3
0001140361-12-053177	1048342	Common Stock				612.0	F1			I		Company 401 (k) Plan	
0000857855-12-000081	1080995	Common Shares Issuable				4342.0	F1			D			
0000857855-12-000081	1080994	Common Stock (RSU's)				27622.0				D			
0000857855-12-000080	1085507	Common Stock				13183.0	F2			I		By 401k	
0000857855-12-000080	1085506	Common Stock (Restricted Stock Units)				27622.0				D			
0000857855-12-000080	1085505	Common Stock Issuable				4616.0	F1			D			
0000857855-12-000080	1085508	Common Stock				1800.0	F3			I		Andrea Rafferty/Schuette (Spouse)	
0001365038-12-000087	1107043	Common Stock, $0.0001 par value				402526.0				I		See Footnote	F2
0001365038-12-000087	1107044	Common Stock, $0.0001 par value				50000.0				I		See Footnote	F3
0001365038-12-000087	1107045	Common Stock, $0.0001 par value				383651.0				I		See Footnote	F4
0001365038-12-000087	1107046	Common Stock, $0.0001 par value				133333.0				I		See Footnote	F5
0001140361-12-053173	1123851	Common Stock				32010.0				I		By Child	
0001140361-12-053173	1123852	Common Stock				27440.0				I		By Spouse	
0001181431-12-067667	1125020	Common Stock				17186.0				D	F4		
0001127602-12-035314	1144762	Common Stock				1483.38				I		By Wife as UGMA Custodian for Children	
0001127602-12-035314	1144759	Common				74500.0				I		By Trust for Children	
0001127602-12-035314	1144760	Common				874.0				I		By Trust for Reporting Person	
0001127602-12-035314	1144761	Common Stock				421363.57				D		By 401(k)	
0001127602-12-035314	1144763	Common Stock				5194.0				I			
0001209191-12-059805	1104976	Common Stock				359000.0				D	F4		
0001140361-12-053171	1195870	Common Stock				173000.0				I	F3	Jane O. Wall Fam Inter Vivos Rev TR	
0001140361-12-053171	1195869	Common Stock				173000.0				I	F2	Cecil C. Wall Fam Inter Vivos Rev TR	
0001181431-12-067661	1199795	Common Stock				5369.0				I		As Trustee for Trust	
0001181431-12-067661	1199794	Common Stock				10038.0				I		By Trust	
0001209191-12-059803	1112666	Common Stock - Restricted Stock				666.0	F8, F6			D			
0001181431-12-067657	1164095	Class B Common Stock				18100.0				I		By IRA	
0001181431-12-067657	1164096	Class B Common Stock				6500.0				I		By IRA for Diana Arends	
0001181431-12-067657	1164097	Class B Common Stock				10500.0				I		By Trust for Nicole Marie	F2
0001209191-12-059801	1211786	COMMON STOCK				13603.0				I		By 401(k) Plan	
0001181431-12-067655	1116883	Class B Common Stock				5000.0				I		By IRA	
0001181431-12-067651	1050572	Class B Common Stock				6160.0				I		By IRA	
0001181431-12-067651	1050571	Class B Common Stock				99747.0	F3			I		By GRAT	
0001120295-12-000197	1213149	Common Stock				24100.0				I		By Child	
0001120295-12-000197	1213148	Common Stock				24100.0				I		By brother-in-law as Custodian for minor child under the California Uniform Transfers to Minors Act	
0001209191-12-059799	1203630	Common Stock				237312.0				I		By: Lorber Gamma Limited Partnership	F2
0001209191-12-059799	1203631	Common Stock				2225087.0	F1			I		By: Lorber Alpha II Limited Partnership	F3
0001437749-12-013334	1166767	Common Stock				136283663.0				I	F4	Held by Eric Govers	
0001127602-12-035303	1094521	Ordinary Shares				4000.0				I		By Sons	
0001209191-12-059787	1209321	Class B Common Stock				397073.0				D		By Farview Management Company, L.P.	F1
0001209191-12-059787	1209322	Class B Common Stock				86025.0				I			
0001110803-12-000185	1185915	Common Stock				15000.0				I		By Daughters	
0001204975-12-000023	1047519	USLM Common Stock				6845.0				I		Held in 401(k) Plan	
0001209191-12-059782	1193450	Common Stock				35919.0				I		By Wife	
0001280452-12-000339	1210825	Common Stock				1006873.0				D			
0001209191-12-059778	1050324	Common Stock				9000.0	F5			I		By Albert McAlister 2008 Charitable Remainder Unitrust	F4
0001209191-12-059778	1050323	Common Stock				15900.0	F3			I		By Albert McAlister 2001 Charitable Remainder Unitrust	F4
0001209191-12-059774	1154474	Common Stock, $.01 par value per share				1000000.0				I		See Footnote	F2
0001181431-12-067645	1155581	Common Shares				726.99	F3			I		By 401(k) Plan	
0001144204-12-070319	1208520	Common Stock				8301069.0				I		By TGR Capital, LLC	F2
0001144204-12-070319	1208521	Common Stock				1148438.0				I		By MZ Capital LLC (Delaware)	F2
0001144204-12-070319	1208522	Common Stock				144.0				D			
0001144204-12-070319	1208519	Common Stock				4446875.0				I		By Enerfund, LLC	F2
0001140361-12-053167	1135014	Common Stock				15000.0	F9			I		by GRAT	
0001140361-12-053167	1135015	Common Stock				15000.0	F10			I		by GRAT	
0001140361-12-053167	1135006	Common Stock				6473.0	F1			I		by GRAT	
0001140361-12-053167	1135007	Common Stock				11424.0	F2			I		by GRAT	
0001140361-12-053167	1135013	Common Stock				15000.0	F8			I		by GRAT	
0001140361-12-053167	1135012	Common Stock				15000.0	F7			I		by GRAT	
0001140361-12-053167	1135011	Common Stock				15000.0	F6			I		by GRAT	
0001140361-12-053167	1135010	Common Stock				14198.0	F5			I		by GRAT	
0001140361-12-053167	1135008	Common Stock				13017.0	F3			I		by GRAT	
0001140361-12-053167	1135009	Common Stock				13774.0	F4			I		by GRAT	
0001181431-12-067638	1206912	Common Stock				78816.0				D			
0001181431-12-067637	1103199	Common Stock				90062.0				I		Shares held by Trust which Mr. Gleason, his wife and descendants are beneficiaries	
0001181431-12-067637	1103195	Common Stock				78816.0				I		Shares held by Spouse	
0001181431-12-067637	1103196	Common Stock				2400.0				I		Shares held in Trust for Adult Child	F1
0001181431-12-067637	1103197	Common Stock				1285600.0				I		Shares held in Gleason Trust	
0001181431-12-067637	1103198	Common Stock				924121.0				I		Shares held in 401(k) at 12/272012	
0001127602-12-035300	1145298	Common Stock				549.3	F4			I		By 401(k) Plan	
0001181431-12-067635	1095856	Common Stock				50000.0	F3			I		See Footnote	
0001181431-12-067635	1095855	Common Stock				50000.0	F2			I		See Footnote	
0001181431-12-067635	1095857	Common Stock				50000.0	F4			I		See Footnote	
0001181431-12-067635	1095858	Common Stock				375000.0	F5			D			
0001181431-12-067633	1124175	Common Stock				8429.0	F2			D			
0001127602-12-035296	1047852	Common Stock				6610.06				I		By 401(k)	
0001140361-12-053163	1200414	Common Stock				9285.0				I		By 401 (K) Plan	
0001140361-12-053163	1200413	Common Stock				26000.0				I		By Energy XXI Deferred Compensation Plan	
0001137687-12-000004	1115603	Common Stock				2250.0	F3			I			
0001137687-12-000004	1115601	Common Stock				51994.0	F1			D		ESOP	
0001137687-12-000004	1115602	Common Stock				18517.0	F2			I		By spouse	
0001127602-12-035288	1153275	Common Stock				674.71	F4			I		By 401(k) Plan	
0001181431-12-067629	1149619	common stock				179348.0				D		jointly with spouse	
0001181431-12-067629	1149620	common stock				89299.0				I		owned by spouse	
0001181431-12-067629	1149621	common stock				2395.0				I			
0001544509-12-000018	1203863	Common Stock, par value $0.001 per share				1.0	F5			D			
0001498710-12-000100	1207807	Common Stock				89375.0	F5			D			
0001144204-12-070305	1196315	Common Stock, par value $0.0001 per share				190500.0				I			
0001144204-12-070305	1196313	Common Stock, par value $0.0001 per share				250843.0				D		See footnote	F4, F6
0001144204-12-070305	1196314	Common Stock, par value $0.0001 per share				39500.0				I		See footnote	F6, F5
0000096021-12-000155	1048964	Common Stock				61.0				I		Spouse	
0000096021-12-000154	1041716	Common Stock				1957.9				I		wife	
0001178913-12-003569	1122074	Ordinary Shares				55124.0				I		f/b/o minor children	F3
0001178913-12-003569	1122073	Ordinary Shares				261604.0				I		By Spouse	F2
0000096021-12-000150	1213494	Common Stock				18500.0				I		Trust	
0001511164-12-000304	1167195	COMMON STOCK				297000.0				I		BY RF COLORADO VENTURES, LLC (1)	F1
0000096021-12-000146	1139741	Common Stock				67199.0	F1			D			
0001209191-12-059768	1102000	Common Stock				83000245.0				I		By Trian Partners	F2, F3
0001209191-12-059767	1130564	Common Stock				83000245.0				I		By Trian Partners	F2, F3
0001209191-12-059766	1192896	Common Stock				83000245.0				I		By Trian Partners	F2, F3
0001209191-12-059766	1192897	Common Stock				70650.0				I		By Spouse	F4
0001209191-12-059766	1192898	Common Stock				600.0				I		By Children	F4, F5
0001209191-12-059766	1192899	Common Stock				544111.0				I		By GRAT	
0001127602-12-035286	1190967	Common Stock				276375.0				D			
0000900440-12-000145	1190027	Common Stock				46176.0				I		By spouse	
0001127602-12-035285	1111328	Common Stock - IRA				4144.0				D		IRA - Spouse	
0001127602-12-035285	1111327	Common Stock - Ownership By Trust				185160.0				I		Trust - Spouse	
0001127602-12-035285	1111326	Common Stock - Ownership By Trust				167508.0				I		Trust	
0001127602-12-035285	1111330	Common Stock 401k				15136.71				I			
0001127602-12-035285	1111325	Common Stock-GRAT				60225.0				I		GRAT #4 - Spouse	
0001127602-12-035285	1111324	Common Stock-GRAT				69296.0				I		GRAT #4	
0001127602-12-035285	1111323	Common Stock Ownership By Spouse				10603.0				I		Spouse	
0001127602-12-035285	1111329	Common Stock - IRA				3313.0				I		401k	
0001137687-12-000003	1037267	Common Stock				25602.0	F1			D			
0001104659-12-086932	1137767	Common Stock				46878.0	F1			I		See footnote	F1
0001225208-12-026319	1198738	Common Stock				787.0				I		By Son 2	
0001225208-12-026319	1198742	Common Stock				424000.0				I			
0001225208-12-026319	1198741	Common Stock				32235.0				I		Family Partnership	
0001225208-12-026319	1198740	Common Stock				29272.0				I		by Trust for Son 2	
0001225208-12-026319	1198739	Common Stock				787.0				I		by Trust for Son 1	
0001225208-12-026319	1198737	Common Stock				243907.0				D		By Son 1	
0000059255-12-000310	1143151	Common stock, $0.01 par value per share				1100541.0				I		by CDCT	F3
0000059255-12-000310	1143149	Common stock, $0.01 par value per share				818514.0				I		By spouse	F1
0000059255-12-000310	1143150	Common stock, $0.01 par value per share				314033148.0				I		by VHC	F2
0000059255-12-000310	1143152	Common stock, $0.01 par value per share				77745.0				I		by Contran	F4
0001181431-12-067618	1119169	Common Stock				3294.0				I		Through 401(k) Plan	
0001061983-12-000025	1113014	Common Stock				12500.0				I		by Trust 1	F1
0001061983-12-000025	1113015	Common Stock				12500.0				I		by Trust 2	F2
0001181431-12-067615	1203870	Common stock				1403158.0	F6			I	F4, F3	See foonote 3	
0001181431-12-067615	1203869	Common stock				200000.0	F5			I	F4, F3	See foonote 3	
0001181431-12-067615	1203871	Common stock				279860.0	F7			I	F4, F3	See foonote 3	
0001181431-12-067615	1203872	Common stock				1469510.0	F8			I	F4, F3	See foonote 3	
0001181431-12-067615	1203873	Common stock				700972.0	F9			I	F4, F3	See footnote 3	
0001347709-12-000006	1187017	$2.50 par value common stock				2648.73				I		Spouse	
0001347709-12-000006	1187018	$2.50 par value common stock				498.99				I		Custodial Accounts for Children	
0000922487-12-000010	1039042	CLASS A COMMON				0.0				D			
0000014693-12-000174	1045190	Class A Common				504775.0				I		Owsley Brown II 1994 GRAT	
0000014693-12-000174	1045193	Class B Common				1980.0				I		Owsley Brown II IRA	
0000014693-12-000174	1045189	Class A Common				257700.0				D			
0000014693-12-000174	1045194	Class B Common				126193.0				I		Owsley Brown II 1994 GRAT	
0000014693-12-000174	1045191	Class A Common				67714.0				I		Trust u/a Owsley Brown III	
0000014693-12-000174	1045192	Class B Common				64189.0				D			
0001225208-12-026318	1050420	"Common Shares (""Shares of Beneficial Interest"")"				5694.0				D			
0001200584-12-000005	1040177	$2.50 par value common stock				54728.0				I		Spouse	
0000827052-12-000114	1038937	Common Stock				634.0				I		By Spouse	
0000827052-12-000114	1038936	Common Stock				33743.29	F2			I		By Edison 401(k) Savings Plan	
0001200583-12-000005	1185544	$2.50 par value common stock				5425.68				I		Spouse	
0001200573-12-000003	1205080	$2.50 par value common stock				8232.0				I		Spouse	
0001510624-12-000003	1102889	$2.50 par value common stock				10825.0				I		Revocable Trust for Spouse	
0001200561-12-000003	1116526	$2.50 par value common stock				12495.0				I		Spouse	
0001225208-12-026314	1107787	Series A Liberty Capital Common Stock				7087.0				D			
0001181431-12-067604	1143531	Common Stock				925.49				I		By ESOP	
0001140361-12-053137	1144827	Common Stock				11055.0				I		By Bluegrass Farms & Woodlands, LLC	F5
0001140361-12-053137	1144824	Common Stock				72750.0				I		By WCorrell. Limited Partnership	F2
0001140361-12-053137	1144826	Common Stock				1201876.0				I		By First Southern Holdings, LLC	F4
0001140361-12-053137	1144825	Common Stock				204909.0				I		By First Southern Bancorp, Inc.	F3
0001140361-12-053137	1144823	Common Stock				341997.0				I		By First Southern Funding, LLC	F1
0001181431-12-067603	1185396	Common Stock				869.32				I		by ESOP	
0001225208-12-026313	1143831	"Common Shares (""Shares of Beneficial Interest"")"				2000.0				D			
0001225208-12-026312	1132191	Common Stock				4908.58				I		by 401k (plan)	
0001225208-12-026312	1132193	Common Stock				12365.0				I		By Spouse	
0001225208-12-026312	1132192	Common Stock				1848.0				I		by Keogh Pension	
0001459221-12-000041	1076766	Common Stock				337302.0				I	F6	KPW Family Limited Partnership	
0001459221-12-000041	1076765	Common Stock				37038.0				I	F5	Good Earth Tools, Inc.	
0001459221-12-000041	1076764	Common Stock				14999.0				I	F4	PAW Family Partnership LP	
0001181431-12-067599	1036436	Class A Common Stock				60357.0				D		By Husband	F2
0001181431-12-067599	1036437	Class A Common Stock				148530.0				I			
0001181431-12-067598	1111233	Class A Common Stock				60357.0				I			
0001181431-12-067598	1111232	Class A Common Stock				148530.0				D		By Wife	F2
0001140361-12-053131	1211210	Common Stock				1056.93				I		As trustee - FBO H. Condo	F2
0001140361-12-053131	1211209	Common Stock				4271.63				I		As trustee	F1
0000950138-12-000605	1108562	Common Stock				850.77				I		401(k) plan	
0000950138-12-000605	1108563	Common Stock				2556.1				I		401(k) excess plan	
0000919574-12-006850	1150314	Common Stock, $0.0001 par value per share				1572866.0				I		See footnote	F1
0000950138-12-000604	1078110	Common Stock				10168.46				I		401(k) excess plan	
0000950138-12-000604	1078109	Common Stock				7868.52				I		401(k) plan	
0001289419-12-000440	1187622	Common Stock				150000.0				I		By trust	F1
0001181431-12-067597	1167641	Common Stock				1000.0				I		See Footnote	F1
0001557601-12-000008	1133177	Common Stock				17969.0				D			
0000892712-12-000700	1049066	Common Stock				13246.0				I		By 401(k) Plan	
0001209191-12-059730	1165717	common				13.15				I		Custodian for son	
0001193296-12-000011	1087156	Common Stock				21867.07				I		By 401k/ESOP - fbo David Heintman	
0001193296-12-000011	1087157	Common Stock				4041.0				I		By Spouse	
0001127602-12-035268	1103172	Common Stock				1724.0				I		Custodian- Daughter	
0001127602-12-035268	1103173	Common Stock				11866.91				I		Held In Trust Under Issuer's Retirement Plan	
0001127602-12-035267	1173505	Common Stock				150000.0				I		2012 Rogers Family Trust	
0001127602-12-035267	1173506	Common Stock				200000.0				I		Spouse	
0001127602-12-035266	1183127	Common Stock				23925.56				I		Held In Trust Under Issuer's Retirement Plan	
0001209191-12-059728	1137559	$.01 PV Cl B Stk				176545.0				D			
0001127602-12-035264	1098650	Common Stock				7019.0				I		By Spouse	
0001127602-12-035264	1098649	Common Stock				1468.0				I		By Child	
0001214659-12-005685	1035958	Common Stock				7734.0				I		By 401(k) Plan	
0001127602-12-035261	1079134	Common Stock				3536.5				I		By ConDav Enterprises LP, a family limited partnership	
0001127602-12-035261	1079135	Common Stock				21764.18				I		Held In Trust Under Issuer's Retirement Plan	
0001127602-12-035260	1123683	Common Stock				17676.65				I		Held In Trust Under Issuer's Retirement Plan	
0001127602-12-035260	1123682	Common Stock				638.0				I		By Son	
