ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0000943440-11-000630	/s/ Daniel Khesin	30-SEP-2011
0001140361-11-047535	/s/ Ryan R. Gilbertson	30-SEP-2011
0001179110-11-013753	/s/ Michael Agliata, Attorney-in-Fact	30-SEP-2011
0001127602-11-026190	/s/ Audrey Wong, Attorney-in-Fact for Hilarie A Koplow	30-SEP-2011
0001127602-11-026189	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026188	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026187	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026186	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026185	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026184	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026183	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026182	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026181	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026180	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026179	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026178	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001209191-11-049557	/s/ Kimberly J. Manhard	30-SEP-2011
0001127602-11-026177	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026176	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026175	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026174	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001509502-11-000005	/s/ Donald E. Stout	19-SEP-2011
0001209191-11-049556	/s/ Larry W. Shackelford, as Attorney-in-fact for Glen E. Shipley	30-SEP-2011
0001127602-11-026173	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001209191-11-049554	/s/ Larry W. Shackelford, as Attorney-in-fact for Kevin R. Maloney	30-SEP-2011
0001397187-11-000041	Christine Day, by David Negus, Attorney-in-Fact	30-SEP-2011
0001127602-11-026172	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026171	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001209191-11-049552	/s/ Larry W. Shackelford, as Attorney-in-Fact for Patrick A. Harper	30-SEP-2011
0001127602-11-026170	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001209191-11-049550	/s/ Larry W. Shackelford, as Attorney-in-Fact for Joachim H. Braun	30-SEP-2011
0001127602-11-026169	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001437749-11-007242	/s/ Paul Karpecki	29-SEP-2011
0001127602-11-026168	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026167	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001127602-11-026166	/s/ S. Wade Sheek - Attorney-in-Fact	30-SEP-2011
0001209191-11-049548	/s/ Larry W. Shackelford, as Attorney-in-fact for Thomas J. Stallings	30-SEP-2011
0001209191-11-049546	/s/ Larry W. Shackelford, as Attorney-in-fact for Teresa A. Deuel	30-SEP-2011
0001321240-11-000014	John Joseph Donahoe	30-SEP-2011
0001127602-11-026165	/s/ Sophie Hager Hume, attorney-in-fact for Paula E. Boggs	30-SEP-2011
0001510192-11-000033	/s/Harold W. Andrews, Jr. as Attorney-in-Fact	30-SEP-2011
0001140361-11-047530	/s/ William N. Scheffel (executed by attorney-in-fact)	30-SEP-2011
