ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001437749-11-009923	/s/ Thinh Q. Tran	30-DEC-2011
0001209191-11-063563	/s/ Brett L. Scott, attorney-in-fact	30-DEC-2011
0001127602-11-033448	Alfredo Gomez, attorney-in-fact	30-DEC-2011
0001127602-11-033446	Alfredo Gomez, attorney-in-fact	30-DEC-2011
0001127602-11-033444	Ava Hahn, attorney-in-fact for Mr. Kissner	30-DEC-2011
0001127602-11-033442	/s/ Ava Hahn, attorney-in-fact for Mr. Thompson	30-DEC-2011
0000893877-11-000446	Richard P. Blumberg	30-DEC-2011
0001104659-11-071834	[see signatures attached as Exhibit 99.2]	30-DEC-2011
0001127602-11-033439	Ava Hahn, attorney-in-fact for Mr. Gregoire	30-DEC-2011
0001127602-11-033437	Ava Hahn	30-DEC-2011
0001127602-11-033435	/s/ Ava Hahn, attorney-in-fact for Mr. Daichendt	30-DEC-2011
0001181431-11-062299	Philip Johnson	30-DEC-2011
0001062993-11-005064	/s/ Albert F Appleton	30-DEC-2011
0001127602-11-033433	/s/Ava Hahn, attorney-in-fact for Mr. Bregman	30-DEC-2011
0001179110-11-017312	/s/ Katharine F. Pierce as Attorney-in-Fact for W. Mac Lackey	30-DEC-2011
0001181431-11-062296	Michael Silton	30-DEC-2011
0001179110-11-017311	/s/ Katharine F. Pierce as Attorney-in-Fact for Joseph Levin	30-DEC-2011
0001179110-11-017310	/s/ Katharine F. Pierce as Attorney-in-Fact for Patrick L. McCrory	30-DEC-2011
0000320187-11-000189	By: Ann M. Miller  For: Donald W. Blair	30-DEC-2011
0001179110-11-017309	/s/ Katharine F. Pierce as Attorney-in-Fact for Lance Melber	30-DEC-2011
0001179110-11-017308	/s/ Katharine F. Pierce as Attorney-in-Fact for Steven Ozonian	30-DEC-2011
0001209191-11-063562	/s/ John J. Fry, by Power of Attorney For Bernard C. Bailey	30-DEC-2011
0001062993-11-005062	/s/ Shudong Xia	30-DEC-2011
0001209191-11-063561	By:  /s/  John J. Fry, by Power of Attorney For James J. Judge	30-DEC-2011
0001303681-11-000240	/s/ Michael Norton-Smith	20-DEC-2011
0001179110-11-017307	/s/ Katharine F. Pierce as Attorney-in-Fact for Peter Horan	30-DEC-2011
0001209191-11-063560	By:  /s/  John J. Fry, by Power of Attorney For Gerald L. Wilson	30-DEC-2011
0001209191-11-063559	/s/ John J. Fry, by Power of Attorney For Michael T. Modic	30-DEC-2011
0001209191-11-063558	By:  /s/  John J. Fry, by Power of Attorney For Edward F. Voboril	30-DEC-2011
0001209191-11-063556	/s/ John J. Fry, by Power of Attorney For Fred B. Parks	30-DEC-2011
0001209191-11-063554	Fred D. Gibson, Jr.	30-DEC-2011
0001183681-11-000045	Keith R. Dolliver, Attorney-in-Fact for Craig J. Mundie	30-DEC-2011
0001181431-11-062295	/s/ Howard Steven Stern	30-DEC-2011
0001181431-11-062293	/s/ Christopher James Barton	30-DEC-2011
0001181431-11-062292	/s/ Sanford Dale Shimoda	30-DEC-2011
0001181431-11-062291	Kim M. Silva, Attorney-in-fact	30-DEC-2011
0001181431-11-062290	/s/ Victor Coleman	30-DEC-2011
0001181431-11-062289	/s/ Mark Thomas Lammas	30-DEC-2011
