ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001209191-10-062978	1102796	Class A Common Stock				2372.0				D			
0001209191-10-062978	1102798	Class A Common Stock				5980.0	F2			D			
0001209191-10-062978	1102797	Class A Common stock				3500.0	F1			D			
0001179110-10-018252	1086727	Common Stock				64239.0				I		By The Dan W. Heil Family Trust	
0001397187-10-000048	1068052	Common Stock				5164429.0				I		by LIPO Investments (USA) Inc.	
0001140361-10-051712	1053918	Common stock				117381.0				D		Benefit plans	F1
0001140361-10-051712	1053919	Common stock				44593.0				I			
0001393905-10-000750	1086794	Common Stock				100000.0				D			
0001439432-10-000011	1116493	Common Stock				72.0	F3			I		Custodial accounts for children	
0001439432-10-000011	1116491	Common Stock				796.08				I		DuPont Retirement Savings Restoration Plan	
0001439432-10-000011	1116492	Common Stock				338.16				I		DuPont Retirement Savings Plan	
0001406297-10-000012	1053156	Common Stock				57076.0				D			
0001144204-10-069061	1154773	Ordinary Shares				447804.0				D	F1		
0001416998-10-000048	1191363	Common Stock				157418.0				I		'09 GRAT PH	F3
0001416998-10-000048	1191364	Common Stock				157418.0				I		'09 GRAT WH	F4
0001416998-10-000048	1191365	Common Stock				349952.0				I		by Trust	F5
0001140361-10-051710	1143722	Common Shares				100000.0				I		Godwin Consultants Ltd.	
0001140361-10-051710	1143723	Common Shares				40000.0				D			
0001193099-10-000106	1051026	Common Stock				4282.0				I		By Spouse IRA	
0000945841-10-000101	1192408	Common Stock				1701.0				I		by Spouse	
0001237769-10-000087	1118338	Common Units				433617.0				D			
0001237769-10-000087	1118339	Common Units				511400.0				I		Tallgrass MLP Fund I, L.P.	F1
0001225208-10-027923	1124410	Common Stock				25000.0				I		By Stock Award IV	F4
0001225208-10-027923	1124406	Common Stock				26509.0				I		By 401(k)	
0001225208-10-027923	1124408	Common Stock				12000.0				I		By Stock Award II	F2
0001225208-10-027923	1124409	Common Stock				24000.0				I		By Stock Award III	F3
0001225208-10-027923	1124407	Common Stock				28206.0				I		By ESOP	
0001237769-10-000086	1126851	Common Units				0.0				D			
0001237769-10-000085	1101474	Common Units				0.0				D			
0001144692-10-000003	1103086	Common Stock				1557700.0	F1			I		By Corporation; By Limited Liability Company	
0001127602-10-031769	1170793	Common Stock				11985.0				D			
0001250853-10-000101	1103395	Common Stock				11250000.0	F1			D			
0000740260-10-000266	1170059	Common Stock				5000.0	F2, F3			I		By Trust	
0000945841-10-000099	1154280	Common Stock				84.0				I		by Grandson	
0000945841-10-000099	1154279	Common Stock				500.0				I		by Family Trust	
0000945841-10-000099	1154278	Common Stock				563.0				I		by Daughter	
0000945841-10-000099	1154281	Common Stock				9437.0				I		by Trust	
0001144692-10-000002	1152270	Common Stock				1500000.0				D			
0001181431-10-064270	1094420	CLASS A COMMON SHARES OF BENEFICIAL INT				8100.0				D			
0001305508-10-000256	1076996	Common Stock				1764.0				I		By Spouse	
0001305508-10-000256	1076995	Common Stock				43550.0				D			
0001181431-10-064269	1164279	CLASS A COMMON SHARES OF BENEFICIAL INT				8100.0				D			
0001305508-10-000255	1154473	Common Stock				91603.0				D			
0001305508-10-000254	1111386	Common Stock				45408.0				D			
0001305508-10-000253	1205520	Common Stock				21998.0				D			
0001305508-10-000252	1132680	Common Stock				51350.0				D			
0001140361-10-051707	1164281	ResMed Common Stock				200000.0				I		Peter C. Farrell April 2010 Annuity Trust	
0001140361-10-051707	1164282	ResMed Common Stock				200000.0				I		Peter C. Farrell July 2010 Annuity Trust	
0001509149-10-000001	1061597	Kimco Realty Corp. Common Stock par value $0.01 per share				20400.0	F1			D			
