ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001213900-14-007052	/s/ Jason Kon Man Wong	30-SEP-2014
0001213900-14-007049	/s/ Haibin Wang	30-SEP-2014
0001213900-14-007047	/s/ Amalia Hadjimichael, by /s/ Simon Prisk, as attorney-in fact by power of attorney	30-SEP-2014
0001213900-14-007047	/s/ Marcin Czernik, by /s/ Simon Prisk, as attorney-in fact by power of attorney	30-SEP-2014
0001213900-14-007047	/s/ Wiaczeslaw Smolokowski, by /s/ Simon Prisk, as attorney-in fact by power of attorney	30-SEP-2014
0001213900-14-007047	/s/ Chione Limited, by /s/ Simon Prisk, as attorney-in fact by power of attorney	30-SEP-2014
0001213900-14-007047	/s/ Andreas Hadjimichael, by /s/ Simon Prisk, as attorney-in fact by power of attorney	30-SEP-2014
0001213900-14-007046	/s/ Hai Wang	30-SEP-2014
0001213900-14-007043	/s/ Foelan Wong	30-SEP-2014
0001213900-14-007041	/s/ Emily Chui-Hung Tong	30-SEP-2014
0001213900-14-007039	/s/ Stephen N. Cannon	30-SEP-2014
0001213900-14-007038	/s/ Winnie NG	30-SEP-2014
0001213900-14-007038	/s/ Winnie NG, Director of De Tiger Holdings Limited	30-SEP-2014
0001213900-14-007036	/s/ Amalia Hadjimichael, by /s/ Simon Prisk, as attorney-in fact by power of attorney	30-SEP-2014
0001213900-14-007036	/s/ Andreas Hadjimichael, by /s/ Simon Prisk, as attorney-in fact by power of attorney	30-SEP-2014
0001213900-14-007036	Marcin Czernik, by /s/ Simon Prisk, as attorney-in fact by power of attorney	30-SEP-2014
0001209191-14-060338	/s/ Paul S. Lalljie, by Power of Attorney	30-SEP-2014
0001437749-14-017697	/s/ Brigitte Smith	30-SEP-2014
0001437749-14-017696	/s/ Brigitte Smith	30-SEP-2014
0001437749-14-017695	/s/ Brigitte Smith	30-SEP-2014
0001185185-14-002612	/s/ Bruce Bedrick	30-SEP-2014
0001209191-14-060336	/s/ Kathryn Lamping, Attorney-in-Fact	30-SEP-2014
0001144204-14-058849	/s/ Stephen A. Arnall	30-SEP-2014
0001144204-14-058848	/s/ Richard Wheelahan	30-SEP-2014
0001209191-14-060334	/s/ Diane Honda, Attorney-in-Fact for David Faugno	30-SEP-2014
0001144204-14-058847	/s/ Richard G. Wheelahan, III, attorney-in-fact	30-SEP-2014
0001209191-14-060333	/s/ Heino von Prondzynski, by Allein Sabel, his attorney-in-fact	30-SEP-2014
0001209191-14-060332	/s/ Deborah C. Lofton, Attorney-in-Fact for Leslie Bonney	30-SEP-2014
0001166763-14-000046	Lia Punches on Behalf of Colin Sturt	30-SEP-2014
0001181431-14-032853	Irwin D. Simon	30-SEP-2014
0001280263-14-000159	By: /s/ Michael Morehead, Attorney in Fact For: Christopher Day	30-SEP-2014
0001620745-14-000001	/s/ AJ Berkeley	30-SEP-2014
0001144204-14-058846	/s/ Jennifer Crane, Attorney-in-fact	30-SEP-2014
0001209191-14-060331	/s/ Kathryn Lamping, Attorney-in-Fact	30-SEP-2014
