ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0000904454-15-000644	/s/ Teresa F. Sparks	30-SEP-2015
0000904454-15-000642	/s/ Teresa F. Sparks, Attorney-in-Fact	30-SEP-2015
0001019687-15-003598	/s/ Jay Palmer, President	30-SEP-2015
0000904454-15-000640	/s/ Teresa F. Sparks, Attorney-in-Fact	30-SEP-2015
0000904454-15-000638	/s/ Teresa F. Sparks, Attorney-in-Fact	30-SEP-2015
0000904454-15-000636	/s/ Teresa F. Sparks, Attorney-in-Fact	30-SEP-2015
0000904454-15-000634	/s/ Teresa F. Sparks, Attorney-in-Fact	30-SEP-2015
0000904454-15-000632	/s/ Teresa F. Sparks, Attorney-in-Fact	30-SEP-2015
0000904454-15-000630	/s/ Teresa F. Sparks, Attorney-in-Fact	30-SEP-2015
0001179110-15-013481	/s/ German Larrea Mota-Velasco by his Attorney-In-Fact Fabiola Alvarado	30-SEP-2015
0001179110-15-013480	/s/ German Larrea Mota-Velasco by his Attorney-In-Fact Fabiola Alvarado	30-SEP-2015
0001140361-15-036400	/s/ Enrique Colbert, Attorney-in-fact for Edmond Macri	30-SEP-2015
0001567619-15-001314	/s/ Anders Hove	30-SEP-2015
0001567619-15-001313	/s/ Albert Marchio, attorney-in-fact	30-SEP-2015
0001567619-15-001312	/s/ Albert Marchio, attorney-in-fact	30-SEP-2015
0001567619-15-001311	/s/ Albert Marchio, attorney-in-fact	30-SEP-2015
0001567619-15-001310	/s/ Albert Marchio, attorney-in-fact	30-SEP-2015
0001567619-15-001309	/s/ Albert Marchio, attorney-in-fact	30-SEP-2015
0001567619-15-001308	/s/ Albert Marchio, attorney-in-fact	30-SEP-2015
0001567619-15-001307	/s/ Albert Marchio, attorney-in-fact	30-SEP-2015
0001567619-15-001306	/s/ Albert Marchio, attorney-in-fact	30-SEP-2015
0001225208-15-018776	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001225208-15-018775	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001567619-15-001305	/s/ Albert Marchio, attorney-in-fact	30-SEP-2015
0001225208-15-018774	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001225208-15-018773	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0000899243-15-005596	/s/ Stephen Unger	30-SEP-2015
0001225208-15-018772	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001225208-15-018771	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001225208-15-018770	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001225208-15-018769	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001225208-15-018768	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001225208-15-018767	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001225208-15-018766	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001225208-15-018765	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001225208-15-018764	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001225208-15-018763	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001225208-15-018762	/s/ David E. Howard, Assistant Corporate Secretary, pursuant to a power of attorney filed with the Commission	30-SEP-2015
0001567619-15-001304	/s/ Albert Marchio, attorney-in-fact	30-SEP-2015
0001567619-15-001303	/s/ Albert Marchio	30-SEP-2015
0000899243-15-005595	SPE I PARTNERS, LP, By: RBS Partners, L.P., Its: General Partner, By: ESL Investments, Inc., Its: General Partner, By: /s/ Edward S. Lampert, Name: Edward S. Lampert, Title: Chief Executive Officer	30-SEP-2015
0000899243-15-005595	ESL INSTITUTIONAL PARTNERS, L.P., By: RBS Investment Management, L.L.C., Its: General Partner, By: ESL Investments, Inc., Its: Manager, By: /s/ Edward S. Lampert, Name: Edward S. Lampert, Title: Chief Executive Officer	30-SEP-2015
