ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001144204-12-053818	/s/ Tao Li	28-SEP-2012
0001127602-12-027452	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001127602-12-027450	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001127602-12-027449	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001144204-12-053812	/s/ Joseph Hernon	28-SEP-2012
0001127602-12-027447	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001246360-12-003904	Marisa Iasenza, as attorney-in-fact, for Edward Meyer	28-SEP-2012
0001144204-12-053803	/s/ Joel Weinshanker, Joel Weinshanker, President of National Entertainment Collectibles Association, Inc.	28-SEP-2012
0001144204-12-053801	/s/ Joel Weinshanker, Joel Weinshanker, President of National Entertainment Collectibles Association, Inc.	28-SEP-2012
0001127602-12-027444	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001127602-12-027443	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001179110-12-014630	Madonna R. Shannon, for THOMAS J. LEANSE	28-SEP-2012
0001179110-12-014629	Madonna R. Shannon for RICHARD A. BAYER	28-SEP-2012
0001225208-12-020222	Debbie Rynhoud, Attorney in fact	28-SEP-2012
0001127602-12-027439	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001225208-12-020221	Debbie Rynhoud, Attorney in fact	28-SEP-2012
0001127602-12-027438	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001225208-12-020219	Debbie Rynhoud, Attorney in fact	28-SEP-2012
0000886744-12-000091	/s/ Olivia Bloom for Susan Molineaux	28-SEP-2012
0000886744-12-000090	/s/ Olivia Bloom for Daniel Bradbury	28-SEP-2012
0000886744-12-000089	/s/ Olivia Bloom for Susan Molineaux	28-SEP-2012
0000886744-12-000088	/s/ Olivia Bloom for Daniel Bradbury	28-SEP-2012
0001233565-12-000006	Attorney-In-Fact:  Andrew P. Stone	28-SEP-2012
0001474435-12-000006	Attorney-In-Fact: Andrew P. Stone	28-SEP-2012
0001470397-12-000004	/s/ Arthur C. Young	28-SEP-2012
0001221603-12-000005	Attorney-In-Fact: Andrew P. Stone	28-SEP-2012
0001453409-12-000005	Christopher Abate	28-SEP-2012
0001127602-12-027434	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001127602-12-027433	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001127602-12-027432	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001516736-12-000029	Barbara Palermo	28-SEP-2012
0000950103-12-005080	/s/ Taku Murakawa, General Manager, Investment Administration Department	28-SEP-2012
0001516736-12-000028	Barbara Palermo	28-SEP-2012
0001516736-12-000027	Barbara Palermo	28-SEP-2012
0000921895-12-001933	By: Raging Capital Fund (QP), LP, By: Raging Capital Management, LLC, General Partner, By: /s/ Frederick C. Wasch as attorney-in-fact for William C. Martin, Managing Member	28-SEP-2012
0000921895-12-001933	By: Raging Capital Fund, LP, By: Raging Capital Management, LLC, General Partner, By: /s/ Frederick C. Wasch as attorney-in-fact for William C. Martin, Managing Member	28-SEP-2012
0000921895-12-001933	By: Raging Capital Management, LLC, By: /s/ Frederick C. Wasch as attorney-in-fact for William C. Martin, Managing Member	28-SEP-2012
0000921895-12-001933	By: /s/ Frederick C. Wasch as attorney-in-fact for William C. Martin	28-SEP-2012
0000921895-12-001932	By: SPH Group Holdings LLC, By: Steel Partners Holdings GP Inc., Manager, By: /s/ James F. McCabe, Jr., Chief Financial Officer	28-SEP-2012
0000921895-12-001932	By: Steel Partners Holdings L.P., By: Steel Partners Holdings GP Inc., General Partner, By: /s/ James F. McCabe, Jr., Chief Financial Officer	28-SEP-2012
0000921895-12-001932	By: SPH Group LLC, By: Steel Partners Holdings GP Inc., Managing Member, By: /s/ James F. McCabe, Jr., Chief Financial Officer	28-SEP-2012
0000921895-12-001932	By: Steel Partners Holdings GP Inc., By: /s/ James F. McCabe, Jr., Chief Financial Officer	28-SEP-2012
0001140361-12-041955	Ryan Cleverley as attorney-in-fact for Robert N. Rebholtz, Jr.	28-SEP-2012
0001140361-12-041954	Ryan Cleverley as attorney-in-fact for James F. Cleary, Jr.	28-SEP-2012
0001181431-12-052308	/s/ Steven H. Benrubi For: Kathy Bronstein	28-SEP-2012
0001225208-12-020216	/s/ Cascade Investment, L.L.C. by Alan Heuberger as attorney-in-fact for Michael Larson, Business Manager	28-SEP-2012
0001225208-12-020216	/s/ William H. Gates III by Alan Heuberger, Attorney-in-fact	28-SEP-2012
0001181431-12-052307	/s/ Steven H. Benrubi For: John D. Goodman	28-SEP-2012
0001209191-12-046946	Abigail L. Jones, Attorney in Fact	28-SEP-2012
0001516736-12-000026	Barbara Palermo	28-SEP-2012
0001179110-12-014626	/s/ Richard R. Wheeler, Attorney-in-Fact	28-SEP-2012
0001127602-12-027426	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001472158-12-000002	/s/ Alex F. Sutter, attorney-in-fact on behalf of Thomas J. Cable	28-SEP-2012
0001127602-12-027424	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001127602-12-027423	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001209191-12-046945	/s/ Christopher K. Pfirrman	12-SEP-2012
0001209191-12-046943	/s/ Tram Phi, Attorney-in-Fact	28-SEP-2012
0001246360-12-003902	James J. Cowie, Attorney-in-Fact for Alberto Sangiovanni-Vincentelli	28-SEP-2012
0001209191-12-046942	/s/ Stephen T. Winn	28-SEP-2012
0001437749-12-009868	/s/ Michael D. Frankenfield	28-SEP-2012
0001209191-12-046940	/s/ Seren Capital Ltd., By: Seren Capital Management, L.L.C., Its General Partner, By: Stephen T. Winn, Sole Manager and President	28-SEP-2012
0001437749-12-009867	/s/ Peter G. Walsh	28-SEP-2012
0001437749-12-009866	/s/ Maurizio Nicolelli	28-SEP-2012
0001233253-12-000007	/s/ Alex F. Sutter, attorney-in-fact on behalf of Arnold C. Hanish	28-SEP-2012
0001209191-12-046938	/s/ Alex Chang	28-SEP-2012
0001437749-12-009865	/s/ Michael D. Frankenfield	28-SEP-2012
0001140361-12-041952	/s/ Eugene A. Ludwig as the managing member of CAPGEN CAPITAL GROUP IV LLC, the general partner of CAPGEN CAPITAL GROUP IV LP	28-SEP-2012
0001127602-12-027420	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
0001127602-12-027419	/s/ Suzanne S. Taylor, attorney-in-fact	28-SEP-2012
