ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001104659-12-047080	1170162	Common Stock				23457.0				D			
0001396638-12-000006	1163080	PHI Common Stock	F1			2500000000.0	F2			D	F3		
0001225208-12-015066	1084049	Disney Common Stock				255.53	F3			I		By 401(k)	
0001225208-12-015066	1084050	Disney Common Stock				100.0				I		By Spouse in IRA	
0001127602-12-020947	1212371	Common Stock				6316.17				I		Allocated Shares In Esop Trust	
0001127602-12-020947	1212372	Common Stock				9139.02				I		Jtwros	
0000891293-12-000041	1157644	Common Stock				186.0				I		Trust for children	
0001189544-12-000058	1050258	Common Stock	F1			89.77				I		By 401(k) Plan	
0001127602-12-020945	1149073	Google Stock Unit	F10			62508.0				D			
0001127602-12-020945	1149072	Class A Common Stock	F1			15320.0				D			
0001140361-12-031741	1046282	PNFP Common Stock				3079.0				I		401(k) Plan	
0001127602-12-020939	1130720	Google Stock Unit	F10			62508.0				D			
0001127602-12-020939	1130719	Class A Common Stock	F1			46945.0				I			
0001127602-12-020939	1130718	Class A Common Stock	F1			15320.0				D		By Family Foundation	
0001140361-12-031740	1179112	PNFP Common Stock				8564.0				I		401(k)	
0001140361-12-031740	1179111	PNFP Common Stock				21000.0				I		IRA	
0001140361-12-031739	1188527	PNFP Common Stock				3884.0				I		401K Plan	
0001140361-12-031739	1188526	PNFP Common Stock				500.0				I		IRA-Spouse	
0001140361-12-031739	1188525	PNFP Common Stock				1226.0				I		IRA	
0001140361-12-031739	1188524	PNFP Common Stock				53420.0				I		Rollover IRA	
0001209191-12-035807	1047805	Common Stock				1774.0				D			
0001140361-12-031738	1039996	PNFP Common Stock				184.0				I		By Daughter	
0001140361-12-031738	1039999	PNFP Common Stock				159.0				I		By Daughter	
0001140361-12-031738	1039998	PNFP Common Stock				20672.0				I		401K Plan	
0001140361-12-031738	1039997	PNFP Common Stock				2652.0				I		By Spouse	
