ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000897101-22-000672	2037521	Common Stock				33770.59				I		by Trust	
0000897101-22-000671	2037622	Common Stock				243.28				I		by Trust	F1
0000897101-22-000670	2037739	Common Stock				7375.77				I		by Trust	F1
0000897101-22-000669	2037583	Common Stock				126.74				I		by Trust	F1
0000897101-22-000668	2037713	Common Stock				9263.8				I		by Trust 1	F2
0000897101-22-000668	2037712	Common Stock				12501.93				I		by Trust	F1
0000897101-22-000668	2037711	Common Stock				69508.73				I		by Spouse	
0000897101-22-000665	2037410	Common Stock				990.64				I		by Corporation	
0000897101-22-000664	2037558	Common Stock				124937.0				I		by Trust	
0000897101-22-000664	2037559	Common Stock				7550.0				I		by Trust 2	
0000897101-22-000663	2037645	Common Stock				292.89				I		by Trust	F1
0000897101-22-000662	2037299	Common Stock				174.54				I		by Trust	F1
0001415889-22-007121	2037541	Common Stock				147712.0				I		By MOS Holdings, Inc.	
0001474506-22-000076	2037529	Common Stock				980.59				D			
0001474506-22-000075	2037535	Common Stock				12156.0				D			
0000899243-22-024695	2037756	Common Stock				3089.0				I		By spouse	F2
0001104659-22-076418	2037542	Common Stock				2134148.0				I		CFW Partners	
0001104659-22-076418	2037543	Common Stock				584.0				I		Granddaughter	F8
0001209191-22-039980	2037643	Class A Common Stock				1000.0				I		See Note	F3
0001209191-22-039980	2037644	Class A Common Stock				5600.0				D			
0001209191-22-039980	2037642	Class A Common Stock				500.0				I		By Spouse	
0001538716-22-000144	2037723	Common Stock				271160.0				I		See footnote	F2
0001935777-22-000001	2037388	Class A Subordinate Voting Shares				15205752.0				I		By Archos Capital Group, LLC	
0001935777-22-000001	2037389	Class A Subordinate Voting Shares				4420790.0				I		By Copperstone Trust	
0001935777-22-000001	2037391	Class A Subordinate Voting Shares				10154606.0				I		By The George P. Archos Irrevocable Trust	
0001935777-22-000001	2037392	Class A Subordinate Voting Shares				4899180.0				I			
0001935777-22-000001	2037390	Class A Subordinate Voting Shares				22225852.0				I		By GP Management Group, LLC	
0001935777-22-000001	2037387	Class A Subordinate Voting Shares				464066.0				D		By 3PLGK, LLC	
0000899243-22-024690	2037443	Common Stock				960000.0				I		by JLKL 2020 Irrevocable Family Trust	
0001127602-22-018312	2037531	Ordinary Shares				1979.33	F1			I		by 401k plan trustee	
0001127602-22-018312	2037532	Ordinary Shares				7139.93	F2			D			
0000950103-22-011807	2037477	Class A common stock				2580.0	F2			D			
0001585521-22-000146	2037528	Class A Common Stock				3574.0				I		See footnote	F5
0001209191-22-039972	2037501	Common Stock				2260683.0				I		By Weibling Living Trust	
0001209191-22-039969	2037294	Common Stock				100000.0	F3			I		By MI-CM LLC	F4
0001209191-22-039969	2037295	Common Stock				822759.0				I		By Marstar Investments LLC	F5
0001209191-22-039969	2037296	Common Stock				5672168.0				I		By Rotor Sponsor LLC	F6
0001935991-22-000002	2037704	Class A Common Stock				0.0				D			
0001062993-22-015694	2037316	Common Stock				6668457.0				I		See footnote	F2
0001062993-22-015694	2037315	Common Stock				19930277.0				I		See footnote	F1
0001062993-22-015693	2037604	Common Class A				33232.0				D			
0001062993-22-015693	2037605	Common Class A - Retirement Plan				15453.0				D			
0001062993-22-015692	2037609	Common Class A - Retirement Plan				145.0				D		See Footnote	F1
0001062993-22-015692	2037610	Common Class A				41496.0	F1			I		See Footnote	F2
0001062993-22-015692	2037611	Common Class A				7300.0	F2			I			
0000899243-22-024667	2037356	Common Shares				9990.0				D			
0001209191-22-039956	2037607	Common Stock				2884.0	F1			I		By 401(k) plan	
0000902664-22-003458	2037211	Common Shares, no par value				1270742712.0				I		See footnotes	F2, F1
0001453104-22-000006	2037162	Common Stock				8692.0				I		CFW V 2016 Trust	F6
0001453104-22-000006	2037163	Common Stock				246715.0				I		2019 Willis Family Trust	F7, F8
0001453104-22-000006	2037164	Common Stock				405488.0				I		CFW Partners	F9
0001453104-22-000006	2037165	Common Stock				93698.0				D			
0001453104-22-000006	2037161	Common Stock				2654.0				I		Austin C. Willis 2019 Irrevocable Trust	F5
0000779152-22-000049	2037258	Common Stock				9929.0				I		By Grantor Retained Annuity Trust	
0001825969-22-000016	2037243	Common Stock				5486355.0	F4			I		By Wife	
0000902664-22-003456	2037200	Common Shares, no par value				1062701449.0				I		See footnotes	F2, F1
0000779152-22-000047	2037111	Common Stock				9929.0	F1			I		By Grantor Retained Annuity Trust	
0001127602-22-018305	2037114	Common Stock				7162.0	F1			I		By Trust	
0001209191-22-039949	2037155	Class A Common Stock				42200.0				D			
0001209191-22-039949	2037154	Class A Common Stock				50000.0				I		By the Serafini/Postner Irrevocable Remainder Trust	
0001474098-22-000095	2037235	Common Shares				200000.0	F3			I		By wife	
0001104659-22-076375	2037250	Common Stock, $0.0001 par value per share				13673178.0				D	F2, F1		
0001441816-22-000127	2037290	Class A Common Stock				5000.0				I		CEANSA Trust U/A DTD 11/15/2021	F5
0001441816-22-000127	2037288	Class A Common Stock				5000.0				I		UAISLE Trust U/A DTD 11/15/2021	F3
0001441816-22-000127	2037289	Class A Common Stock				5000.0				I		BREOGA Trust U/A DTD 11/15/2021	F4
0001441816-22-000127	2037291	Class A Common Stock				5000.0				I		AOGALL Trust U/A DTD 11/15/2021	F6
0001441816-22-000126	2037285	Class A Common Stock				15995.0				I		By Trust	F3
0001441816-22-000125	2037112	Class A Common Stock				30020.0				I		By The John D. McMahon 1995 Trust	F3
0001441816-22-000124	2037115	Class A Common Stock				544896.0				I		By Trust	F3
0001437107-22-000190	2037262	Series A Common Stock				198175592.0				I		Indirect interest in two partnerships	F2, F1
0001259735-22-000003	2037274	Common Stock				1610.0				I		With Wife	
0001259735-22-000003	2037273	Common Stock				1854.0				I		Custodial IRA	
0001104659-22-076357	2037175	Common Stock				25000.0				D			
0001214659-22-008493	2037149	Common Stock				10000000.0				I		By Ault Alpha LP	F5
0001214659-22-008493	2037147	Common Stock				2500000.0				D		By Ault Life Sciences, Inc.	F3
0001214659-22-008493	2037148	Common Stock				14942984.0				I		By Ault Life Sciences Fund, LLC	F4
0001214659-22-008493	2037150	Common Stock				325000.0				I			
0001214659-22-008492	2037104	13% Series D Cumulative Redeemable Perpetual Preferred Stock				53033.0				I		By Ault Alpha LP	F2
0001214659-22-008492	2037105	Common Stock				266292.0				D		By Ault & Company, Inc.	F3
0001214659-22-008492	2037107	Common Stock				3408.0				I			
0001214659-22-008492	2037106	Common Stock				1658916.0				I		By Philou Ventures, LLC	F4
0000705432-22-000120	2037268	Common Stock				6568.0				I		by ESOP	
0000705432-22-000120	2037267	Common Stock				3250.0				I		Spouse IRA	
0000705432-22-000120	2037266	Common Stock				4131.0				I		401k SSB Trust	
0000705432-22-000119	2037236	Common Stock				621.0				I		ESOP	
0000705432-22-000118	2037134	Common Stock				7536.0				I		401k SSB Trust	
0000705432-22-000118	2037133	Common Stock				12744.0				I		By ESOP	
0001274225-22-000002	2037193	Common Stock				106802.0				D			
0000705432-22-000117	2037130	Common Stock				7306.0				I		401k SSB Trust	
0000705432-22-000117	2037131	Common Stock				26204.0				I		by ESOP	
0001259727-22-000003	2037099	Common Stock				15815.25				D			
0001415889-22-007109	2037219	Common Stock				893500.0				D			
0001415889-22-007109	2037218	Common Stock				310050.0				I		See Note	F6
0001415889-22-007109	2037217	Common Stock				299700.0				I		See Note	F5
0001415889-22-007109	2037216	Common Stock				30000.0				I		See Note	F4
0001415889-22-007109	2037215	Common Stock				124000.0				I		See Note	F3
0001415889-22-007109	2037214	Common Stock				94783.0				I		See Note	F2
0001415889-22-007109	2037220	Common Stock				69420.0				I		See Note	F7
0001415889-22-007109	2037221	Common Stock				10000.0				I		See Note	F8
0000705432-22-000116	2037189	Common Stock				4562.0				I		401K	
0000705432-22-000116	2037190	Common Stock				1482.0				I		ESOP	
0001104659-22-076320	2037238	Common Stock				16500.0				I		See footnote	F2
0000705432-22-000115	2037160	Common Stock				1357.0				I		ESOP	
0000705432-22-000114	2037135	Common Stock				923.0				I		ESOP	
0000705432-22-000113	2037241	Common Stock				2460.0				I		ESOP	
0000705432-22-000113	2037240	Common Stock				12828.0				I		IRA	
0000705432-22-000113	2037239	Common Stock				18.0				I		Cust FBO Granddaughter	
0000705432-22-000113	2037242	Common Stock				3945.0				I		401K	
0000705432-22-000112	2037152	Common Stock				1849.0				I		401k	
0000705432-22-000112	2037151	Common Stock				1021.0				I		ESOP	
0001127602-22-018286	2037230	Common Stock				2088.0				I		Spouse Account (by wife's IRA)	
0001127602-22-018286	2037229	Common Stock				32887.0				I		By Corporation	F2
0001127602-22-018286	2037231	Common Stock				259.27				I		UTMA custodian for granddaughter	
0001127602-22-018286	2037232	Common Stock				1060.57				I		UTMA custodian for grandson	
0001225208-22-008321	2037156	Common Stock				30559.0				D			
0001209191-22-039930	2037102	Common Shares				7362.0	F1			I		by 401(k)	
0001654954-22-009052	2037141	Common Stock				85000.0				I		See footnote	F3
0001654954-22-009049	2037103	Common Stock				4053567.0				I		See Footnote	F4, F3
0000705432-22-000111	2037132	Common Stock				631.0				I		ESOP	
0001209191-22-039928	2037142	Common Stock				328.81				I		by 401(k)	
0001209191-22-039928	2037143	Common Stock				38075.0				I		by Trust	
0001209191-22-039928	2037146	Common Stock				251580.0				I		by GRAT9	
0001209191-22-039928	2037145	Common Stock				252370.0				I		by GRAT8	
0001209191-22-039928	2037144	Common Stock				327150.0				I		by GRAT6	
0001209191-22-039922	2037204	Common Stock				18.0				I		By Trust 4	
0001209191-22-039922	2037205	Common Stock				20.0				I		By Trust 5	
0001209191-22-039922	2037203	Common Stock				55.0				I		By Trust 3	
0001209191-22-039922	2037202	Common Stock				45.0				I		By Trust 2	
0001209191-22-039922	2037201	Common Stock				30.0				I		By Trust 1	
0001209191-22-039921	2037187	Common Stock				2000.0				I		By Trust	
0001567619-22-013541	2037286	Common Stock				310713.0				D	F5		
0001567619-22-013541	2037287	Common Stock				320675.0				D	F6		
0001062993-22-015671	2037263	Ordinary Shares, par value NIS 0.25 per share				55874.0	F4, F3			I		By Partnership	F4, F3
0001209191-22-039916	2037167	Common Stock				6791.0				I		By GRAT	
0001209191-22-039915	2037188	Common Stock				1367.0				I		By Spouse	
0001104659-22-076291	2037264	Common Stock, par value $0.0001				15.0				I		Shares held by spouse of Reporting Person	
0001062993-22-015670	2037119	Ordinary Shares, par value NIS 0.25 per share				55874.0				I		By Partnership	F6
0001209191-22-039911	2037260	Common Stock				3500.0				I		by Spouse	
0001209191-22-039911	2037261	Common Stock				23500.0				I		by Trust	
0001209191-22-039906	2037096	5.00% Series B Fixed-to-Floating Rate Preferred Stock				1040000.0				I		Magnetar SC Fund Ltd	F2, F3, F1
0001209191-22-039906	2037097	5.00% Series B Fixed-to-Floating Rate Preferred Stock				1200000.0				I		Magnetar Xing He Master Fund Ltd	F2, F3, F1
0001209191-22-039906	2037098	7.25% Series A Fixed-to-Floating Rate Preferred Stock				156400.0				I		Magnetar Constellation Fund V LLC	F2, F3, F1
0001209191-22-039906	2037095	5.00% Series B Fixed-to-Floating Rate Preferred Stock				227600.0				I		Magnetar Constellation Fund V Ltd	F2, F3, F1
0001209191-22-039905	2037108	Class A Common Shares				14840.0	F1			D			
0001209191-22-039905	2037109	Class A Common Shares				14840.0	F2			D			
0000899243-22-024587	2037271	No securities are beneficially owned by John Parsons.	F1			0.0				D	F2		
