ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001493152-17-015328	/s/ Christopher Cashion, attorney-in-fact	29-DEC-2017
0001127602-17-035656	/s/ Patricia Foley, attorney-in-fact for David W. Hudson	29-DEC-2017
0001144204-17-065991	/s/ Oleg Firer	29-DEC-2017
0000899243-17-029748	Dan H. Wilks, By: /s/ Morgan D Neff, Morgan D Neff, as Attorney-in-Fact	29-DEC-2017
0000899243-17-029748	WILKS BROTHERS, LLC, By: /s/ Morgan D Neff, Name: Morgan D Neff, Title: Attorney-in-Fact	29-DEC-2017
0000899243-17-029748	Farris Wilks, By: /s/ Morgan D Neff, Morgan D Neff, as Attorney-in-Fact	29-DEC-2017
0000899243-17-029748	Staci Wilks, By: /s/ Morgan D Neff, Morgan D Neff, as Attorney-in-Fact	29-DEC-2017
0000899243-17-029747	/s/ Zvi Glasman, by David Haugen as attorney-in-fact	29-DEC-2017
0001209191-17-067683	Brad Nelson as Attorney-in-Fact for Farhad Fred Ebrahimi and Mary Wilkie Ebrahimi	29-DEC-2017
0001161697-17-000572	/s/ Thom Kozik	29-DEC-2017
0000886163-17-000160	By: Charles S. Berkman For: Matthew E. Korenberg	29-DEC-2017
0000886163-17-000159	By: Charles S. Berkman For: Matthew W. Foehr	29-DEC-2017
0000886163-17-000158	By: Charles S. Berkman For: John L. Higgins	29-DEC-2017
0000886163-17-000157	Charles S. Berkman	29-DEC-2017
0001580695-17-000623	/s/ Kase Lukman Lawal	29-DEC-2017
0001214659-17-007533	/s/ Hans P Dechterenko	28-DEC-2017
0001243792-17-000009	Mark D. Fischer	29-DEC-2017
0001612525-17-000005	Steven B. Shiffman	29-DEC-2017
0001437749-17-021327	/s/ Sean Edgett, Attorney-in-Fact	29-DEC-2017
0000899243-17-029742	Frost Gamma Investments Trust by: /s/ Phillip Frost, MD, Trustee	29-DEC-2017
0000899243-17-029742	/s/ Phillip Frost, MD	29-DEC-2017
0000899243-17-029742	Frost Nevada Investments Trust by: /s/ Phillip Frost, MD, Trustee	29-DEC-2017
0001140361-17-047864	/s/ Bill Mannina, Attorney-in-Fact	29-DEC-2017
0001591956-17-000061	By: Denise Garrett For: Vivekanand Mahadevan	29-DEC-2017
0001225208-17-019301	Joshua M. Westerman, POA	29-DEC-2017
0001225208-17-019300	Joshua M. Westerman, POA	29-DEC-2017
0001225208-17-019299	Joshua M. Westerman, POA	29-DEC-2017
0001225208-17-019298	Joshua M. Westerman, POA	29-DEC-2017
0001225208-17-019297	Joshua M. Westerman, POA	29-DEC-2017
0001225208-17-019296	Joshua M. Westerman, POA	29-DEC-2017
0001225208-17-019295	Joshua M. Westerman, POA	29-DEC-2017
0001225208-17-019294	Joshua M. Westerman, POA	29-DEC-2017
0001225208-17-019293	Joshua M. Westerman, POA	29-DEC-2017
0001209191-17-067681	Robert J. Bujarski, attorney-in-fact for Douglas C. Bryant	29-DEC-2017
0001591956-17-000060	By: Denise Garrett For: Kurt Kalbfleisch	29-DEC-2017
0001127602-17-035653	/s/ Doria L. Koros, attorney-in-fact for Mr. Garg	29-DEC-2017
0001591956-17-000059	By: Denise Garrett For: Eric Kelly	29-DEC-2017
0001591956-17-000058	By: Denise Garrett For: Jenny Yeh	29-DEC-2017
0001127602-17-035651	/s/ Doria L. Koros, attorney-in-fact for Ms. Togher	29-DEC-2017
0001217160-17-000218	Donald M. Boone	29-DEC-2017
0001591956-17-000057	By: Denise Garrett For: Peter Tassiopoulos	29-DEC-2017
0001591956-17-000056	By: Denise Garrett For: Cheemin Bo-Linn	29-DEC-2017
0001127602-17-035649	/s/ Doria L. Koros, attorney-in-fact for Mr. Gries	29-DEC-2017
0001591956-17-000055	By: Denise Garrett For: Duncan McEwan	29-DEC-2017
0001591956-17-000053	By: Denise Garrett For: Cheemin Bo-Linn	29-DEC-2017
0001140361-17-047859	/s/ Bill Mannina, Attorney-in-Fact	29-DEC-2017
0001140361-17-047858	/s/Bill Mannina, Attorney-in-Fact	29-DEC-2017
0001140361-17-047857	/s/ Bill Mannina, Attorney-in-Fact	29-DEC-2017
0001140361-17-047856	/s/ Robert E. Wahlman	29-DEC-2017
0001140361-17-047854	/s/ Steven R. Barth, Attorney-in-Fact for Brian Jay Stark	29-DEC-2017
0001140361-17-047853	/s/ Jay S. Sidhu by Natalya Spadafora under Power of Attorney	29-DEC-2017
0001140361-17-047849	/s/ Steven R. Barth, Attorney-in-Fact for Philip L. Milstein	29-DEC-2017
0001140361-17-047847	/s/ Richard Ehst by Natalya Spadafora Under Power of Attorney	29-DEC-2017
0001127602-17-035647	/s/ Jeannette L. Knudsen	29-DEC-2017
0001262463-17-000356	/s/ Robert L. Hymers III	29-DEC-2017
0001140361-17-047845	/s/ Steven R. Barth, Attorney-in-Fact for Allan H. Selig	29-DEC-2017
0000899243-17-029740	/s/Danielle Hunter, as attorney in fact	29-DEC-2017
0001209191-17-067679	/s/ Christopher M. Lal, by power of attorney	29-DEC-2017
0001140361-17-047843	/s/ Steven R. Barth, Attorney-in-Fact for Bruce J. Olson	29-DEC-2017
0001209191-17-067678	/s/ by Lane Verlenden as power of attorney for Bernard J. Kim	29-DEC-2017
0001391143-17-000008	Sebastien C DuFort	29-DEC-2017
0001140361-17-047841	/s/ Steven R. Barth, Attorney-in-Fact for Timothy E. Hoeksema	29-DEC-2017
0001140361-17-047839	/s/ Steven R. Barth, Attorney-in-Fact for Diane M. Gershowitz	29-DEC-2017
