ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001127602-13-035935	925965	Common Stock				140.0				D		By Spouse	
0001127602-13-035935	925966	Common Stock				166.0				I			
0001209191-13-058970	958453	Class A Common Stock				41322.0				D			
0001209191-13-058967	967785	Common Stock				5552.8				I		By ESOP	
0001127602-13-035934	914755	Common Stock				9139.02				I		Jtwros	
0001127602-13-035934	914754	Common Stock				6570.31				I		Allocated Shares In Esop Trust	
0001144204-13-069836	931714	Common Stock, $0.01 par value per share				2931752.0				I		By Innovation Spring LLC	F2
0001144204-13-069832	941412	Common Stock, $0.01 par value per share				733815.0				I		By Donald E. and Mary Stout Trust	
0001144204-13-069830	956311	Common Stock, $0.01 par value per share				1542282.0				I		By ARB-A Investments Trust	
0001437749-13-016604	915922	Common				85430.0				I		By 401k (plan)	
0001144204-13-069807	954718	Common Stock				32000.0				D			
0000904454-13-001324	947085	Class A Common Stock				211860.0				D			
0001126328-13-000329	965515	Common Stock				2801.0				I		By Spouse	
0001126328-13-000329	965516	Common Stock				500.0				I		By Immediate Family Member's IRA	
0001126328-13-000328	960495	Common Stock				589.0				I		By 401(k) Plan	
0001126328-13-000328	960496	Common Stock				192.0				I		By Spouse	
0001140361-13-047838	916116	Common Shares				925.0				I		By Child	F2
0001140361-13-047838	916114	Common Shares				145100.0				I		By Wife	F2
0001140361-13-047838	916115	Common Shares				447.0				I		By IRA	F2
0001140361-13-047835	914739	Common Shares				60807.0				I		By Wife	F2
0001140361-13-047835	914738	Common Shares				60729.0				I		By the LCP Group L.P.	F2
0001126328-13-000326	925450	Common Stock				303.0				I		By Spouse	
0001126328-13-000326	925449	Common Stock				40.0				I		By 401(k) Plan	
0001179110-13-018627	932343	Common Stock				700.0				I		By wife	
0001126328-13-000325	933134	Common Stock				114.0				I		By Spouse	
0000904548-13-000023	916174	Class A Common Stock				27000.0				I		I	F5
0000904548-13-000023	916172	Class A Common Stock				19480.0				I		I	F3
0000904548-13-000023	916171	Class A Common Stock				235.0				I		I	F2
0000904548-13-000023	916173	Class A Common Stock				1920.0				I		I	F4
0001181431-13-065064	961772	Common Stock				1587.0				I		By 401(k)	
0001181431-13-065064	961773	Common Stock				1200.0				I		By IRA	
0001209191-13-058949	946435	Common Stock				2898940.0				I		by Spouse as sole Trustee of Irrevocable Trust for children	
0001209191-13-058949	946434	Common Stock				138552.0				I		by Spouse	
0001209191-13-058949	946432	Common Stock				317000.0				I		by Charitable Remainder Trust	
0001209191-13-058949	946433	Common Stock				215706.0				I		by 401(k) Plan	
0001127602-13-035930	928470	Common Stock				11651.0				D		By Wife	
0001127602-13-035930	928471	Common Stock				1000.0				I		By Trust	
0001127602-13-035930	928472	Common Stock				492.0				I			
0001225208-13-026171	971893	Common Stock, $.10 par value (SIP)				66998.0				D	F3		
0001225208-13-026171	971895	Common Stock, $.10 par value				27300.0				I			
0001225208-13-026171	971894	Common Stock, $.10 par value				28705.0				I			
0001225208-13-026171	971891	Common Stock, $.10 par value (Jointly Owned)				76968.0	F1			D		By 401k	F4
0001225208-13-026171	971892	Common Stock, $.10 par value (PSP)				74780.0	F2			D		IRA Account	
0001127602-13-035929	928115	Common Stock				20.0				I		By spouse as UTMA custodian for minor child	F5
0001127602-13-035929	928108	Common Stock				3000.0				I		By Spouse	
0001127602-13-035929	928113	Common Stock				20.0				I		By spouse as UTMA custodian for minor child	F3
0001127602-13-035929	928114	Common Stock				9.0				I		By spouse as UTMA custodian for minor child	F4
0001127602-13-035929	928112	Common Stock				20.0				I		By spouse as UTMA custodian for minor child	F2
0001127602-13-035929	928109	Common Stock				7500625.0				I		Trustee For Self And Children	
0001127602-13-035929	928110	Common Stock				7500625.0				I		Trustee, Life Interest Only	
0001127602-13-035929	928111	Common Stock				20.0				I		By spouse as UTMA custodian for minor child	F1
0001127602-13-035928	965702	Common Stock				16056.0	F1			D			
