ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001127602-07-003947	1872012	Common Stock				1686.0				I		By Deferred Comp Plan	
0001127602-07-003945	1828754	Common Stock				1329.0	F2			I		By Deferred Comp Plan	
0001127602-07-003943	1684414	Common Stock				58745.0				D			
0001127602-07-003941	1847914	Common Stock				0.0				D			
0001181431-07-059349	1838743	Common Stock				5884.0				D			
0001181431-07-059348	1773804	Common Stock				3419.0				D			
0001127602-07-003939	1652416	Common Stock				112725.0				I			
0001127602-07-003939	1652415	Common Stock				27924.0				I			
0001127602-07-003939	1652414	Common Stock				14787.0	F9			I		By Trust	
0001127602-07-003939	1652411	Common Stock				204323.0				D		By Custodian For Child	
0001127602-07-003939	1652412	Common Stock				5993.0				D		By 401(k)	
0001127602-07-003939	1652413	Common Stock				5439.0				I		By Ira	
0001181431-07-059347	1750691	Common Stock				1000.0				D			
0001181431-07-059346	1558220	Common Stock				41922.0	F3			I		See footnote.	F3
0001181431-07-059346	1558221	Common Stock				11430.0				D			
0001181431-07-059345	1539918	Common Stock				1236.0				I		See footnote.	F3
0001181431-07-059345	1539919	Common Stock				2683.0				D			
0001181431-07-059343	1742537	Common Stock				4285.6				I		See footnote.	F3
0001181431-07-059343	1742538	Common Stock				5039.0				D			
0001181431-07-059342	1514228	Common Stock				11805.0				D			
0001181431-07-059341	1815663	Common Stock				2995.0				D			
0001127602-07-003937	1566867	Common Stock				2067.0				D		Charles J. Gries Profit Sharing and Cash Deferred Plan	
0001127602-07-003937	1566868	Common Stock				3057.0				I		Living Trust	
0001127602-07-003937	1566869	Common Stock				1584.0				I			
0001127602-07-003935	1704871	Common Stock				4144.0				I			
0001127602-07-003935	1704870	Common Stock				690.0				I			
0001127602-07-003935	1704868	Common Stock				2061.0				D		By Spouse	
0001127602-07-003935	1704867	Common Stock				93956.0				D		By 401(k)	
0001127602-07-003935	1704869	Common Stock				9558.0	F8			I		By Ira	
0001219119-07-000528	1708245	Common Stock				43440.0				I		HJ Exempt GST	F6
0001219119-07-000528	1708246	Common Stock				43440.0				I		by HJ Skipping Trust	F7
0001219119-07-000528	1708244	Common Stock				43440.0				I		GPH Exempt GST	F5
0001219119-07-000526	1515811	Common Stock				3000.0				I		by Trust 1	F1
0001219119-07-000526	1515812	Common Stock				3000.0				I		by Trust 2	F2
0001219119-07-000525	1556571	Common Stock				131700.0				I		By Wife	
0001179110-07-018979	1560344	Common Shares				6896552.0				I		By Investment Funds	
0001181431-07-059330	1925911	Common Units				17264898.0	F1			I		By Kelcy Warren Partners, L.P.	
0001179110-07-018977	1929999	Common Shares				0.0				D			
0001179110-07-018975	1645985	Common Shares				1000.0				D			
0001181431-07-059321	1615295	Common Stock				74.19				I		By SAIC Retirement Plan	
0001181431-07-059320	1667715	Common Stock				166.02	F3			I		By SAIC Retirement Plan	
0001179110-07-018973	1497489	Common Shares				45000.0				D			
0001181431-07-059317	1577954	Common Stock				29760.0				D			
0001209191-07-055370	1530575	No Securities Beneficially Owned				0.0				D			
0001179110-07-018970	1645785	Common Shares				112.0				I			
0001179110-07-018970	1645784	Common Shares				112.0				I		Judith T. Fulkerson, Trustee of the AWF 1994 Trust f/b/o Sarah Fulkerson	
0001179110-07-018970	1645783	Common Shares				225.0				I		Judith T. Fulkerson, Trustee of the AWF 1994 Trust f/b/o Lyle W. Fulkerson	
0001179110-07-018970	1645782	Common Shares				1580.0				D		Judith T. Fulkerson, Trustee of the AWF 1994 Trust f/b/o Davis R. Fulkerson	
0001179110-07-018968	1684943	Common Shares				10000.0				D		IRA	
0001179110-07-018968	1684945	Common Shares				8000.0				I			
0001179110-07-018968	1684944	Common Shares				12000.0				I		In Trust	
0001179110-07-018966	1752245	Common Shares				13000.0				D			
0001179110-07-018964	1684184	Common Shares				3000.0				D			
0001179110-07-018962	1562258	Common Shares				0.0				D			
0000904454-07-000768	1803762	Common Stock				17437.0				D			
0000904454-07-000766	1718714	Common Stock				2083500.0				I		By Welsh, Carson, Anderson & Stowe X, L.P.	F1
0000904454-07-000766	1718716	Common Stock				2789.0				D			
0000904454-07-000766	1718715	Common Stock				8244625.0				I		By Welsh, Carson, Anderson & Stowe IX, L.P.	F2
0000904454-07-000764	1909400	Common Stock				5755.0				D			
0000904454-07-000764	1909398	Common Stock				2083500.0				I		By Welsh, Carson, Anderson & Stowe X, L.P.	F1
0000904454-07-000764	1909399	Common Stock				8244625.0				I		By Welsh, Carson, Anderson & Stowe IX, L.P.	F2
0000904454-07-000762	1771685	Common Stock				5755.0				D			
0000904454-07-000762	1771684	Common Stock				8244625.0				I		By Welsh, Carson, Anderson & Stowe IX, L.P.	F2
0000904454-07-000762	1771683	Common Stock				2083500.0				I		By Welsh, Carson, Anderson & Stowe X, L.P.	F1
0000904454-07-000760	1813022	Common Stock				8244625.0				I		By Welsh, Carson, Anderson & Stowe IX, L.P.	F2
0000904454-07-000760	1813021	Common Stock				2083500.0				I		By Welsh, Carson, Anderson & Stowe X, L.P.	F1
0000904454-07-000760	1813023	Common Stock				5755.0				D			
0000904454-07-000757	1929398	Common Stock				2083500.0				I		By Welsh, Carson, Anderson & Stowe X, L.P.	F1
0000904454-07-000757	1929399	Common Stock				8244625.0				I		By Welsh, Carson, Anderson & Stowe IX, L.P.	F2
0000904454-07-000757	1929400	Common Stock				6103.0				D			
0001181431-07-059295	1494321	Common Stock				340.0				D			
0000904454-07-000752	1526481	Common Stock				2083500.0				I		By Welsh, Carson, Anderson & Stowe X, L.P.	F1
0000904454-07-000752	1526483	Common Stock				20053.0				D			
0000904454-07-000752	1526482	Common Stock				8244625.0				I		By Welsh, Carson, Anderson & Stowe IX, L.P.	F2
0000904454-07-000749	1661028	Common Stock				20053.0				D			
0000904454-07-000749	1661026	Common Stock				2083500.0				I		By Welsh, Carson, Anderson & Stowe X, L.P.	F1
0000904454-07-000749	1661027	Common Stock				8244625.0				I		By Welsh, Carson, Anderson & Stowe IX, L.P.	F2
0000875626-07-002202	1782970	Common Shares				0.0				D			
0000875626-07-002201	1520474	Common Shares				0.0				D			
0000875626-07-002200	1569680	Common Shares				0.0				D			
0000921895-07-002257	1732127	Common  Stock, $.001 Par Value				276782.0				I		See Footnotes	F3, F4
0000875626-07-002199	1623542	Common Shares				0.0				D			
0000875626-07-002198	1802439	Common Shares				0.0				D			
0001225208-07-008571	1693283	Common Stock				219.0				D			
0000904454-07-000746	1553108	Common Stock				17437.0				I		By WCAS Management Corporation	F6
