ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001104659-19-052148	/s/ Kathleen Layton (Attorney-in-Fact)	30-SEP-2019
0001144204-19-046615	Vintage Capital Management, LLC, by: /s/ Brian R. Kahn, Manager	30-SEP-2019
0001144204-19-046615	Kahn Capital Management, LLC, by: /s/ Brian R. Kahn, Manager	30-SEP-2019
0001144204-19-046615	/s/ Brian R. Kahn	30-SEP-2019
0001104659-19-052146	/s/ Kathleen Layton (Attorney-in-Fact)	30-SEP-2019
0001127602-19-029293	/s/ Tina Renee A Sablan, attorney-in-fact for Mr. Keven F Camacho	01-OCT-2019
0001127602-19-029291	/s/ Tina Renee A Sablan, attorney-in-fact for Francisco M Atalig	01-OCT-2019
0000899243-19-024433	/s/ Ryan A. Murr, as attorney-in-fact for Jon Kuwahara	30-SEP-2019
0000899243-19-024432	/s/ Ryan A. Murr, as attorney-in-fact for Catherine C. Turkel	30-SEP-2019
0000899243-19-024431	/s/ Ryan A. Murr, as attorney-in-fact for Gregory J. Flesher	30-SEP-2019
0001209191-19-051167	/s/ Jeffrey M. Goldberg	30-SEP-2019
0001567619-19-018900	/s/ Jay Greyson	30-SEP-2019
0001209191-19-051166	/s/ Hisao Kushi as attorney-in-fact for Karen Boone	30-SEP-2019
0001595585-19-000218	/s/ Edward J. Hejlek, attorney-in-fact	30-SEP-2019
0001437749-19-019296	/s/ Yenyou Zheng	30-SEP-2019
0000769993-19-000512	/s/Jamison Yardley, Attorney-in-fact	30-SEP-2019
0000769993-19-000512	/s/Jamison Yardley, Attorney-in-fact	30-SEP-2019
0001595585-19-000216	/s/ Edward J. Hejlek, attorney-in-fact	30-SEP-2019
0000769993-19-000511	/s/Jamison Yardley, Attorney-in-fact	30-SEP-2019
0000769993-19-000511	/s/Jamison Yardley, Attorney-in-fact	30-SEP-2019
0001595585-19-000215	/s/ Edward J. Hejlek, attorney-in-fact	30-SEP-2019
0001127602-19-029288	/s/ Laurel Krueger for Robert K. Shearer (Pursuant to Signing Authority on File)	30-SEP-2019
0001127602-19-029287	/s/ Laurel Krueger for Richard T. Carucci (Pursuant to Signing Authority on File)	30-SEP-2019
0001104659-19-052129	/s/ Malcolm Maginnis	30-SEP-2019
0001567619-19-018899	/s/ Eric Fleekop, Attorney-in-Fact	30-SEP-2019
0001646793-19-000006	/Lewis, Yolanda/	30-SEP-2019
0001209191-19-051165	/s/ Bryan K. Phillips on behalf of Charles W. Olson	30-SEP-2019
0001209191-19-051164	/s/ Bryan K. Phillips on behalf of Timothy J. Arens	30-SEP-2019
0001127602-19-029286	/s/ Jason Okazaki by Power of Attorney for Richard J. Whitley	30-SEP-2019
0001127602-19-029284	/s/ Jason Okazaki by Power of Attorney for Kevin E. Lofton	30-SEP-2019
0001209191-19-051163	Joseph J. Bradley, Attorney-in-Fact	30-SEP-2019
0001127602-19-029282	/s/ Lisa Yun, Attorney-in-Fact for Marc Benioff	30-SEP-2019
0001209191-19-051161	/s/ Matt Tolland, as attorney-in-fact for Jeffrey M. Ryan	30-SEP-2019
0001104659-19-052113	/s/ Joshua M. Bloomstein	30-SEP-2019
0001104659-19-052111	/s/ Ian Fitzgerald	30-SEP-2019
0001562180-19-004976	/s/ Robert L. Hughes for Neil J Boehm by Power of Attorney	30-SEP-2019
0001288469-19-000160	/s/ Connie Kwong, as Attorney-in-Fact	30-SEP-2019
0001209191-19-051159	/s/ Mark Hoyla, Attorney-in-Fact for Gary Weitman	30-SEP-2019
0001209191-19-051158	/s/ Mark Hoyla, Attorney-in-Fact for Dana Zimmer	30-SEP-2019
0001209191-19-051157	/s/ Mark Hoyla, Attorney-in-Fact for Sean Compton	30-SEP-2019
0001585583-19-000063	Rebecca H. Yang, Attorney-in-Fact	30-SEP-2019
0001713683-19-000033	/s/ Torrie Nute, by power of attorney	30-SEP-2019
0001567619-19-018897	R. Eddie Dixon, Jr. as attorney-in-fact for Jeffrey L. Kodosky	30-SEP-2019
0000919574-19-006126	Armistice Capital, LLC, By: /s/ Steven Boyd, Managing Member	30-SEP-2019
0000919574-19-006126	Armistice Capital Master Fund Ltd., By: /s/ Steven Boyd, Director	30-SEP-2019
0000919574-19-006126	/s/ Steven Boyd	30-SEP-2019
0001104659-19-052100	By: /s/ James Ryan Clark, Director	30-SEP-2019
0000919574-19-006125	Armistice Capital, LLC, By: /s/ Steven Boyd, Managing Member	30-SEP-2019
0000919574-19-006125	Armistice Capital Master Fund Ltd., By: /s/ Steven Boyd, Director	30-SEP-2019
0000919574-19-006125	/s/ Steven Boyd	30-SEP-2019
0001209191-19-051155	/s/ Kevin Van Gorder, Attorney-in-Fact for Emmanuel Roman	30-SEP-2019
0001593968-19-001942	/s/ R. Michael Herrman, as attorney-in-fact	30-SEP-2019
0000925421-19-000289	/s/ Douglas Fischer, as attorney-in-fact for Richard Taney	30-SEP-2019
0000925421-19-000288	/s/ Douglas Fischer, as attorney-in-fact for Richard Taney	30-SEP-2019
0000939057-19-000376	/s/ Judith A. Steiner	30-SEP-2019
0001567619-19-018896	/s/ Jenarae N. Garland, Attorney-in-Fact for Oscar K. Brown	30-SEP-2019
0001127602-19-029280	/s/ David Kling as attorney-in-fact for Mark Zuckerberg	30-SEP-2019
0001127602-19-029279	/s/ David Kling as attorney-in-fact for Mark Zuckerberg	30-SEP-2019
0001104659-19-052098	Hadley Harbor Master Investors (Cayman) L.P. By: Wellington Alternative Investments LLC, as General Partner /s/ Matthew N. Shea, Title: Authorized Person	30-SEP-2019
0001567619-19-018894	Jenarae N. Garland, Attorney-in-Fact for William R. Klesse	30-SEP-2019
0000946724-19-000051	By: Sharon O'Connor For: Gordon Clemons	30-SEP-2019
0001246360-19-002131	Francis B. Barron, as Attorney-in-Fact	30-SEP-2019
0001209191-19-051152	/s/ Philip D. Black, as managing member of True Venture Partners Select II, L.L.C., the general partner of True Ventures Select II, L.P.	30-SEP-2019
0001209191-19-051152	/s/ Philip D. Black, as managing member of True Venture Partners Select III, L.L.C., the general partner of True Ventures Select III, L.P.	30-SEP-2019
0001209191-19-051152	/s/ Philip D. Black, as managing member of True Ventures IV, L.L.C.	30-SEP-2019
0001209191-19-051152	/s/ Philip D. Black	30-SEP-2019
0001209191-19-051152	/s/ Philip D. Black, as managing member of True Venture Partners IV, L.L.C., the general partner of True Ventures IV-A, L.P.	30-SEP-2019
0001209191-19-051152	/s/ Philip D. Black, as managing member of True Venture Partners Select I, L.L.C.	30-SEP-2019
0001209191-19-051152	/s/ Philip D. Black, as managing member of True Venture Partners Select II, L.L.C.	30-SEP-2019
0001209191-19-051152	/s/Philip D. Black, as managing member of True Venture Partners Select I, L.L.C., the general partner of True Ventures Select I, L.P.	30-SEP-2019
0001209191-19-051152	/s/ Philip D. Black, as managing member of True Venture Partners Select III, L.L.C.	30-SEP-2019
0001209191-19-051152	/s/ Philip D. Black, as managing member of True Venture Partners IV, L.L.C., the general partner of True Ventures IV, L.P.	30-SEP-2019
0001127602-19-029278	Vicky Strom, attorney-in-fact for Ann D. Janssen	30-SEP-2019
0001209191-19-051151	/s/ Scott B. Brown	30-SEP-2019
0001225208-19-012837	Gary M. Rinck	30-SEP-2019
0001225208-19-012836	Gary M. Rinck	30-SEP-2019
0001225208-19-012835	Gary M. Rinck	30-SEP-2019
0001209191-19-051150	/s/ Hisao Kushi as attorney-in-fact for John P. Foley	30-SEP-2019
0001225208-19-012834	Gary M. Rinck	30-SEP-2019
0001225208-19-012833	Gary M. Rinck	30-SEP-2019
0001225208-19-012832	Gary M. Rinck	30-SEP-2019
0001225208-19-012831	Gary M. Rinck	30-SEP-2019
0001209191-19-051149	/s/ Hisao Kushi as attorney-in-fact for Howard Draft	30-SEP-2019
0001209191-19-051148	/s/ Hisao Kushi as attorney-in-fact for Jonathan D. Callaghan	30-SEP-2019
0001225208-19-012830	Joanna Jia, Attorney-in-Fact	30-SEP-2019
0001127602-19-029276	Vicky Strom, attorney-in-fact for Ezra Y. Yacob	30-SEP-2019
0001209191-19-051147	/s/ Hisao Kushi as attorney-in-fact for Erik C. Blachford	30-SEP-2019
0001225208-19-012829	Gary M. Rinck	30-SEP-2019
0001209191-19-051146	/s/ William B. Masters, on behalf of Terence E. Hall, pursuant to a power of attorney	30-SEP-2019
0001209191-19-051145	/s/ Diedre Williams, SVP of Operations & People Matters, by power of attorney.	30-SEP-2019
