ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001459685-09-000006	1244759	Common Stock				1200.0				I		By Spouse IRA	
0001225208-09-009040	1397143	Common Stock				401.91	F1			I		By SAIC Retirement Plan	
0001225208-09-009038	1240464	Common Stock				402.07	F1			I		By SAIC Retirement Plan	
0001225208-09-009034	1281051	Common Stock				387.61	F1			I		By SAIC Retirement Plan	
0001209191-09-019034	1331708	2007 Stock Incentive Plan Restricted Stock Units (RSUs)	F1			3908.0	F2			D			
0001179110-09-005792	1403222	Common Stock				1000.0				I		By SaraJen Capital, LLC	F2
0001179110-09-005790	1400269	Common Stock				1000.0				I		By SaraJen Capital, LLC	F2
0001127602-09-008021	1280634	Common Stock				3000.0				I		By Trust 1	F1
0001127602-09-008021	1280635	Common Stock				3000.0				I		By Trust 2	F2
0001209191-09-019016	1254480	Common Stock				632004.49	F1			I		W. P. Carey International LLC	
0001209191-09-019016	1254479	Common Stock				3002354.76	F1			I		Carey Asset Management Corp.	
0001209191-09-019015	1240468	Common Stock				3115209.16	F1			I		Carey Asset Management Corp.	
0001209191-09-019015	1240469	Common Stock				491654.21	F1			I		W. P. Carey International LLC	
0001127602-09-008019	1250443	Common Stock				2823.0				D		By 401(k) Plan	
0001127602-09-008019	1250444	Common Stock				8200.0				I		Joint Account With Spouse	
0001127602-09-008019	1250445	Common Stock				6800.0				I			
0001209191-09-019014	1448841	Common Stock				231199.56	F1			I		W. P. Carey International LLC	
0001209191-09-019014	1448840	Common Stock				2230504.49	F1			I		Carey Asset Management Corp.	
0001209191-09-019014	1448839	Common Stock				7732.6	F1			I		Carey Property Advisors, LP	
0001209191-09-019014	1448838	Common Stock				1278.0	F1			I		W. P. Carey & Co. Inc.	
0001209191-09-019010	1473101	Common Stock				5950.0				D			
0000085535-09-000003	1439079	Common Stock				0.0				D			
0001181431-09-017896	1464314	Common Stock				2412.59	F3			I		Under 401(k) Plan	
0001181431-09-017894	1460243	Common Stock				2967.68	F3			I		Under 401(k) Plan	
0001314598-09-000063	1339757	Common Stock - Voting				2122.31	F3			I		401(k) Retirement Plan	
0001314598-09-000062	1312763	Common Stock - Voting				2215.05	F2			I		401 (k) Retirement Plan	
0001314598-09-000061	1432536	Common Stock - Voting				9132.35	F2			I		McCormick 401(k) Plan	
0001314598-09-000061	1432535	Common Stock - Voting				924.77				I		Deferred Compensation Plan	
0001314598-09-000060	1321677	Commpn Stock - Voting				22187.07	F2			I		McCormick 401(k) Plan	
0001314598-09-000058	1238120	Common Stock - Voting				10000.0				I		IRA	
0001179110-09-005777	1323055	Common Stock				14871.0				D			
0001314598-09-000056	1470667	Common Stock - Voting				14547.96	F2			I		401(k) Retirement Plan	
0001314598-09-000056	1470668	Common Stock - Voting				1328.77				I		Deferred Compensation Plan	
0001314598-09-000055	1375430	Common Stock - Non Voting				24.94				I		As custodian for son	
0001314598-09-000055	1375429	Common Stock - Voting				1027.11	F2			I		401(k) Plan	
0001314598-09-000055	1375431	Common Stock - Non Voting				24.94				I		As custodian for son	
0000096021-09-000037	1330724	Common Stock				61.0				I		Spouse	
0000096021-09-000036	1274135	Common Stock				1957.9				I		wife	
0000892712-09-000341	1262859	Common Stock				51000.0				I		By Spouse	F1
0000892712-09-000340	1395577	Common Stock				75000.0				I		By Spouse	F1
0000892712-09-000339	1394928	Common Stock				40000.0				I		By spouse	F1
0000892712-09-000338	1324682	Common Stock				4000.0				I		By Spouse	F1
0000892712-09-000337	1419876	Common Stock				95000.0				I		By Spouse	F1
0000096021-09-000031	1414495	Common Stock				18500.0				I		Trust	
0000096021-09-000028	1464115	Common Stock				3500.0				I		Corporation	
0001294606-09-000025	1388728	Common Stock				5000000.0				D			
0001140361-09-008431	1445308	Common Stock				8019.58	F2			I		By 401(k) Plan	
0001140361-09-008427	1229476	Depositary Shares Representing Series P Preferred Stock				5000.0				I		By 401(K)	
0001127602-09-008003	1327967	Common Stock				12150.0				D			
0001366025-09-000001	1428026	Common Stock				4000.0				I		by IRA	
0001005477-09-001782	1336184	Common Stock				2569995.0	F1			I		By The D3 Family Bulldog Fund, LP	
0001005477-09-001782	1336185	Common Stock				129931.0	F1			I		By The D3 Family Canadian Fund, LP	
0001179110-09-005767	1283375	COMMON STOCK				2416475.0				D			
0001209191-09-019001	1242704	Class A Common Stock				8575.0				I		By revocable trust	
0000921530-09-000029	1378175	Common Stock				74552.0				I		See Footnote	F2
0001209191-09-018996	1407017	Class A Common Stock				2.0				I		By children	
0001209191-09-018993	1360763	Restricted Common Shares	F4			2616.0				D			
0001209191-09-018993	1360762	Class B Common Shares				130000.0				D		Wife	
0001209191-09-018993	1360761	Class B Common Shares				46062.0				I		Trust	F2
0001209191-09-018993	1360760	Class B Common Shares				1954816.0				I		Partnership	F1
0001209191-09-018993	1360764	Common Shares				2448.0				I			
0001181431-09-017828	1309303	Common Stock				2917.0				D			
0001179110-09-005759	1302402	Common Stock				2591.0				I		By Spouse IRA	
0000933590-09-000068	1288971	Common stock				333.0				I		Daughter	
0000933590-09-000068	1288972	Common stock				51985.0				D			
0000908662-09-000143	1354347	Common Stock				1383.0				I		By 401(k) Plan	
0000908662-09-000142	1219093	Common Stock				20148404.0				I		See Foonote	F2
0001181431-09-017825	1389769	Common Stock				1000.0				D			
0000908662-09-000138	1422207	Common Stock				7000.0				I		By IRA	
