ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001417564-08-000024	1583336	common shares				5750000.0				I		100% owner, sole officer and director, of Tusscin Management Ltd.	
0001417564-08-000023	1846342	common shares				5750000.0				I		100% owner, sole officer and director, of Tusscin Management Ltd.	
0001417564-08-000022	1495573	common shares				5750000.0				I		100% owner, sole officer and director, of Tusscin Management Ltd.	
0001417564-08-000021	1703062	common shares				5750000.0				I		100% owner, sole officer and director, of Tusscin Management Ltd.	
0001209191-08-020876	1694320	Common Stock				715.0				I			
0001209191-08-020876	1694319	Common Stock				715.0				I		For benefit of minor son	
0001209191-08-020876	1694318	Common Stock				284620.0	F1, F2			D		For benefit of minor son	
0001209191-08-020875	1848959	Common Stock				260000.0				D			
0001417564-08-000020	1649724	common shares				5750000.0				I		100% owner, sole officer and director, of Tusscin Management Ltd.	
0001209191-08-020873	1948863	Common Stock				74634.0				D			
0001209191-08-020872	1652656	Common Stock				2293333.0	F1			I		By Cocolalla, LLC	
0001209191-08-020872	1652657	Common Stock				1172500.0				D			
0001417564-08-000019	1888593	common shares				5750000.0				I		100% owner, sole officer and director, of Tusscin Management Ltd.	
0001417564-08-000018	1745999	common shares				5750000.0				I		100% owner, sole officer and director, of Tusscin Management Ltd.	
0001110803-08-000113	1727214	Common Stock				15800.0				I		by Daughters	
0001417564-08-000017	1937292	common shares				5750000.0				I		100% owner, sole officer and director, of Tusscin Management Ltd.	
0001417564-08-000016	1583315	common shares				5750000.0				I		100% owner, sole officer and director, of Tusscin Management Ltd.	
0001181431-08-022143	1611632	Common Stock				41922.0	F3			I		See footnote.	F3
0001181431-08-022143	1611633	Common Stock				11430.0				D			
0001181431-08-022142	1632849	Common Stock				1000.0				D			
0001181431-08-022141	1500623	Common Stock				2683.0				D			
0001181431-08-022141	1500622	Common Stock				1236.0				I		See footnote.	F3
0001181431-08-022140	1910357	Common Stock				27640.0				D			
0001181431-08-022140	1910356	Common Stock				4285.6				I		See footnote.	F3
0001181431-08-022139	1886511	Common Stock				2995.0				D			
0001181431-08-022138	1517212	Common Stock				12929.0				D			
0001417564-08-000015	1658448	common shares				5750000.0				D			
0001181431-08-022137	1749174	Common Stock				7572.0				D			
0001181431-08-022136	1670818	Common Stock				1919.0				D			
0001005477-08-002593	1857901	Common Stock				2000.0	F1			D			
0001417564-08-000014	1524786	common shares				5750000.0				D			
0001417564-08-000013	1952029	common shares				5750000.0				D			
0001417564-08-000012	1552534	common shares				5750000.0				D			
0001417564-08-000011	1675178	common shares				5750000.0				D			
0001209191-08-020871	1843934	Common Stock				56561.0				I		Beneficially owned through Michael O. Johnson IRA	
0001225208-08-005594	1763557	Common Stock				100000.0				I		543608 B.C. Ltd.	
0001219119-08-000157	1680390	Common Stock				128024.0				I		By Wife	
0001219119-08-000155	1901482	Common Stock				43440.0				I			
0001219119-08-000155	1901479	Common Stock				1063.0				D		GPH Exempt GST	F5
0001219119-08-000155	1901480	Common Stock				43440.0				I		HJ Exempt GST	F6
0001219119-08-000155	1901481	Common Stock				43440.0				I		by HJ Skipping Trust	F7
0001181431-08-022130	1775997	Common Stock				7880.0				I	F3		
0001181431-08-022130	1775996	Common Stock				5429.0				D		See Footnote	F3
0001140361-08-008224	1572741	Common Stock				1477500.0				I		By Great Northern Capital Management, Inc.	
0001140361-08-008224	1572742	Common Stock				905000.0				I		By Lantern Advisers, Inc.	
0001329203-08-000010	1706020	Common Stock				15365.0				I		By Wife	
0001209191-08-020859	1903511	Beneficial Unit Certificates				12500.0				D			
0001209191-08-020856	1756090	Beneficial Unit Certificates				12500.0				I		By Spouse	
0001209191-08-020851	1501840	Common Stock				679.0	F2			I		By Savings Plan	
0001179110-08-006751	1680927	Common Shares				1580.0				D			
0001179110-08-006750	1531944	Common Shares				6896552.0				I		By Investment Funds	
0001179110-08-006748	1662526	Common Shares				0.0				D			
0001179110-08-006746	1940881	Common Shares				1000.0				D			
0001329203-08-000008	1503597	Common Stock				6000.0				I		By Daughter	
0001329203-08-000008	1503598	Common Stock				6000.0				I		By Son	
0001225208-08-005558	1874544	Common Stock				2207.0	F1			I			
0001225208-08-005558	1874543	Common Stock				9731.0				D		By 401(k) Plan	
0001179110-08-006744	1542121	Common Shares				45000.0				D		As General Partner of Little Oak Hill Partnership LLC	
0001179110-08-006744	1542122	Common Shares				15000.0				I			
0001179110-08-006741	1807439	Common Shares				12000.0				I		In Trust	
0001179110-08-006741	1807438	Common Shares				10000.0				D		IRA	
0001179110-08-006741	1807440	Common Shares				8000.0				I			
0001170918-08-000162	1638911	Common Stock				2161138.0	F1			I		By Jenco Capital Corporation	
0001170918-08-000162	1638909	Common Stock				275000.0	F1			I		By Jeanne Nix, Spouse	
0001170918-08-000162	1638910	Common Stock				2500.0	F1			I		By Children	
0001079028-08-000025	1771504	Common Stock	F2			26442.0				I		by Trust	F2
0001179110-08-006739	1601089	Common Shares				13000.0				D			
0001103780-08-000004	1671487	Common Shares				800000.0				D			
0001329203-08-000006	1822247	Common Stock				480.0				I		By Son	
0001179110-08-006737	1904741	Common Shares				3000.0				D			
0001300616-08-000001	1548514	Common Stock				269995.0	F3			D			
0001179110-08-006735	1883643	Common Shares				0.0				D			
0001144204-08-019457	1552939	"Common Stock par value $.0001 per share (the ""Common Stock"")"				5000000.0				D		See footnote 2.	F2
0001144204-08-019457	1552941	Common Stock				5000000.0	F3			I			
0001144204-08-019457	1552940	Common Stock				5000000.0	F1			I		See footnote 4.	F4
0001249323-08-000016	1574740	Common Stock				45726.0				D		by Foundation	F3
0001249323-08-000016	1574741	Common Stock				294200.0				I		by Lmtd Ptnrshp2	F4
0001249323-08-000016	1574742	Common Stock				970000.0				I		by Trust2	F5
0001249323-08-000016	1574743	Common Stock				81462.0				I			
0001209191-08-020849	1527811	Common Stock				243000.0				I	F2	As Trustee	F2
0001209191-08-020849	1527812	Common Stock				27000.0				D	F3		
0001209191-08-020848	1722908	Common Stock				680.0				I		As Trustee - Step Mother	
0001209191-08-020848	1722910	Common Stock				100.0				I		By Spouse	
0001209191-08-020848	1722909	Common Stock				615.0				I		By Son's Trust	
0001144204-08-019450	1700804	"Common Stock, par value $.0001 per share the ""Common Stock"""				5000000.0				D		See footnote	F2
0001144204-08-019450	1700806	Common Stock				5000000.0	F3			I			
0001144204-08-019450	1700805	Common Stock				5000000.0	F1			I		See footnote	F4
0001342584-08-000001	1519372	Common Stock				5715.0				D			
0001209191-08-020840	1916990	Common Stock				2175906.0				I	F1	By LP	F1
0001209191-08-020840	1916991	Common Stock				243000.0				I	F2	As Trustee	F2
0001209191-08-020840	1916992	Common Stock				27000.0				D	F3		
0001238351-08-000015	1488513	Common Stock				1200.0				D			
0001238351-08-000015	1488512	Common Stock				300.0				I		Custodian for Child	
0001238351-08-000015	1488511	Common Stock				4800.0				I		401(k)	
0001144204-08-019430	1621504	Common Stock				5000000.0	F3			I			
0001144204-08-019430	1621502	"Common Stock, par value $.0001 per share the ""Common Stock"""				5000000.0				D		See footnote	F2
0001144204-08-019430	1621503	Common Stock				5000000.0	F1			I		See footnote	F4
0001181431-08-022101	1756713	Common Units representing limited partner interests				26110.0				D		By LDLM Associates, LP	F2
