ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001562180-18-004055	Yvonne Chen, as attorney in fact for Max Freifeld	26-SEP-2018
0000899243-18-025564	/s/ Matthew Batters, as attorney-in-fact for Edward Moore Kennedy, Jr.	28-SEP-2018
0000899243-18-025562	/s/ Matthew Batters, as attorney-in-fact for Ian Taylor	28-SEP-2018
0001225208-18-013820	/s/ Robert C. Milton III under POA	28-SEP-2018
0000899243-18-025560	/s/ Matthew Batters, as attorney-in-fact for Bradley Albert Margus	28-SEP-2018
0001225208-18-013818	/s/ Robert C. Milton III under POA	28-SEP-2018
0000711377-18-000038	Steven J Quinlan (Attorney in Fact)	28-SEP-2018
0001225208-18-013817	/s/ Robert C. Milton III under POA	28-SEP-2018
0001225208-18-013816	/s/ Robert C. Milton III under POA	28-SEP-2018
0000899243-18-025556	/s/ Matthew Batters, as attorney-in-fact for Craig Martin Crews	28-SEP-2018
0000899243-18-025553	/s/ Matthew Batters, as attorney-in-fact for John G. Houston	28-SEP-2018
0000899243-18-025551	/s/ Matthew Batters, as attorney-in-fact for Sean A Cassidy	28-SEP-2018
0000899243-18-025549	/s/ Matthew Batters, as attorney-in-fact for Andrew Crew	28-SEP-2018
0000899243-18-025547	/s/ Matthew Batters, as attorney-in-fact for Briggs Morrison	28-SEP-2018
0000711377-18-000037	Steven J Quinlan (Attorney in Fact)	28-SEP-2018
0000899243-18-025538	/s/ Jonathan Kuai, attorney-in-fact	28-SEP-2018
0000899243-18-025537	/s/ Jonathan Kuai, attorney-in-fact	28-SEP-2018
0000899243-18-025534	/s/ Jonathan Kuai, attorney-in-fact	28-SEP-2018
0000899243-18-025533	/s/ Jonathan Kuai, attorney-in-fact	28-SEP-2018
0000899243-18-025532	/s/ Jonathan Kuai, attorney-in-fact	28-SEP-2018
0000899243-18-025529	/s/ Jonathan Kuai, attorney-in-fact	28-SEP-2018
0001127602-18-028604	/s/ Juan Ignacio Rubiolo	28-SEP-2018
0000899243-18-025528	/s/ Jonathan Kuai, attorney-in-fact	28-SEP-2018
0001127602-18-028602	/s/ Julian Nebreda	28-SEP-2018
0001127602-18-028600	/s/ Leonardo Moreno	28-SEP-2018
0001127602-18-028598	/s/ Lisa Krueger	28-SEP-2018
0001127602-18-028596	/s/ Manuel Perez Dubuc	28-SEP-2018
0001127602-18-028594	/s/ Michael Johnson as attorney-in-fact for Sheryl K. Sandberg	28-SEP-2018
0000886744-18-000054	/s/ Olivia Bloom for Robert J. Spiegel	28-SEP-2018
0001209191-18-052631	/s/ Russell J. Wood, by power of attorney	28-SEP-2018
0000886744-18-000053	/s/ Olivia Bloom for Susan Molineaux	28-SEP-2018
0000886744-18-000052	/s/ Olivia Bloom for Daniel Bradbury	28-SEP-2018
0001567619-18-003292	/s/ Gordon Sangster, Attorney-in-Fact for Dennis Wolf	28-SEP-2018
0001567619-18-003291	/s/ Gordon Sangster, Attorney-in-Fact for Thomas R. Baruch	28-SEP-2018
0001283699-18-000050	/s/ Frederick Williams, Attorney-in-Fact	27-SEP-2018
0001209191-18-052630	/s/ Bryan K. Phillips on behalf of Timothy J. Arens	28-SEP-2018
0001283699-18-000049	/s/ Frederick Williams, Attorney-in-Fact	27-SEP-2018
0001209191-18-052628	/s/ Bryan K. Phillips, on behalf of Charles W. Olson	28-SEP-2018
0001016281-18-000102	/s/ Melvin C. Payne	28-SEP-2018
0001209191-18-052626	/s/ Dorothy Pacini, Attorney-in-Fact	28-SEP-2018
0001209191-18-052625	/s/ Dana C. Russell, attorney-in-fact	28-SEP-2018
0001209191-18-052624	/s/ Dana C. Russell	28-SEP-2018
0001209191-18-052623	/s/ Dana C. Russell, attorney-in-fact	28-SEP-2018
0001209191-18-052622	/s/ Dana C. Russell, attorney-in-fact	28-SEP-2018
0001209191-18-052621	/s/ Dana C. Russell, attorney-in-fact	28-SEP-2018
0001567619-18-003290	/s/ Eric Fleekop, Attorney-in-Fact	28-SEP-2018
0001367859-18-000115	/s/ Rebecca L. Johnson, Attorney-in-fact	28-SEP-2018
0001367859-18-000114	/s/ Rebecca L. Johnson, Attorney-in-fact	28-SEP-2018
