ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001583934-16-000010	598510	Common Stock				127500.0				I	F2		
0001583934-16-000010	598509	Common Stock				43626.0				D		Charles V. Ghoorah Irrevocable Trust (2013)	
0001583934-16-000009	566879	Common Stock				125000.0				I	F2	David C Quattrone Irrevocable Trust (2013)	
0001179110-16-022434	549016	Common Stock				95440000.0	F3			I		See footnote	F5
0001179110-16-022434	549015	Common Stock				353944.0	F3			I		See footnote	F4
0001179110-16-022432	560719	Common Stock				95440000.0	F2			I		See footnote	F4
0001179110-16-022432	560718	Common Stock				353944.0	F2			I		See foonote	F3
0001179110-16-022431	571977	Common Stock				95440000.0	F3			I		See footnote	F5
0001179110-16-022431	571976	Common Stock				353944.0	F3			I		See footnote	F4
0001209191-16-111303	571819	Common Stock				1599593.0				I		By limited partnership	F1
0001140361-16-059733	571380	Common Stock				27710574.0				I		See footnote	F2, F3
0000899243-16-017306	579679	Common Stock				0.0	F1			D	F1		
0000899243-16-017305	557468	Common Stock				0.0	F1			D	F1		
0001140361-16-059729	589900	Common Stock				27710574.0				I		See footnote	F2, F3
0000899243-16-017304	560693	Common Stock				0.0	F1			D	F1		
0000899243-16-017303	555875	Common Stock				0.0	F1			D	F1		
0000899243-16-017302	561561	Common Stock				0.0	F1			D	F1		
0000899243-16-017301	547996	Common Stock				0.0	F1			D	F1		
0000899243-16-017300	599644	Common Stock				0.0	F1			D	F1		
0000899243-16-017299	567465	Common Stock				0.0	F1			D	F1		
0001127602-16-047981	576405	Common Stock				1200.0				D			
0000899243-16-017298	583349	Common Stock				0.0	F1			D	F1		
0000899243-16-017297	563238	Common Stock				0.0	F1			D	F1		
0000899243-16-017296	596861	Common Stock				0.0	F1			D	F1		
0000899243-16-017295	556194	Common Stock				0.0	F1			D	F1		
0000899243-16-017294	573106	Common Stock				0.0	F1			D	F1		
0000899243-16-017293	586895	Common Stock				0.0	F1			D	F1		
0000899243-16-017292	556381	Common Stock				0.0	F1			D	F1		
0000899243-16-017291	577904	Common Stock				0.0	F1			D	F1		
0000899243-16-017290	577189	Common Stock				0.0	F1			D	F1		
0000899243-16-017289	573374	Common Stock				0.0	F1			D	F1		
0000899243-16-017288	550422	Common Stock				0.0	F1			D	F1		
0001144204-16-092055	560456	Common Stock				1000.0				D			
0000899243-16-017287	596671	Common Stock				0.0	F1			D	F1		
0000899243-16-017286	570984	Common Stock				0.0	F1			D	F1		
