ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001404058-08-000016	1807488	Common Stock	F1			1708750.0				I		401(k) Plan	
0001404058-08-000016	1807487	Common Stock				383919.0				D		Family Trust	
0001404058-08-000016	1807489	Common Stock				21797.0				I			
0001404058-08-000015	1880294	Common Stock				500.0				D			
0001104659-08-079167	1591662	Common Stock				26124.0				D			
0001104659-08-079166	1622740	Common Stock				700.0				D			
0001104659-08-079165	1827647	Common Stock				7972075.0				I		By the William P. Angrick III Revocable Trust	
0001104659-08-079165	1827649	Common Stock				99367.0				I		By The Stephanie S. Angrick 2005 Qualified Grantor Retained Annuity Trust	F1
0001104659-08-079165	1827648	Common Stock				303845.0				I		By the Stephanie S. Angrick Revocable Trust	F1
0001104659-08-079164	1520313	Common Stock				470531.0				I		By the Mateus-Tique Foundation	
0001104659-08-079164	1520311	Common Stock				2547155.0				D		By the Em El 2007 Irrevocable Trust	
0001104659-08-079164	1520312	Common Stock				119000.0				I		By the Jaime Mateus-Tique 2005 Qualified Grantor Retained Annuity Trust	
0001104659-08-079164	1520314	Common Stock				35000.0				I			
0001276655-08-000007	1634063	Common Stock				500000.0				D			
0001225208-08-020064	1759563	Common				278.0				I		By Brokerage Account	
0001225208-08-020063	1822265	Common				1362.0				D		By Brokerage Account	
0001225208-08-020063	1822266	Common				258.0				I			
0001225208-08-020059	1620152	Common				1000.0				I		By Brokerage Account	
0001005477-08-007028	1793912	Common Stock				50000.0				D			
0001209191-08-067998	1589753	Common Stock				30000.0				I		Snodgrass Children's Ltd.	
0001209191-08-067998	1589754	Common Stock				67.0				D			
0001179110-08-021694	1744651	Common Stock				15026.0				I		See footnote	F1
0001179110-08-021694	1744650	Common Stock				1685.0				I		held by spouse	
0001249323-08-000069	1719227	Common Stock				81462.0				I			
0001249323-08-000069	1719226	Common Stock				970000.0				I		by Trust2	F3
0001249323-08-000069	1719225	Common Stock				46739.0				D		by Lmtd Ptnrshp2	F2
0000898173-08-000061	1895252	Common Stock				448204.0	F1			I		Indirectly as trustee for reporting person's child and reporting person's step mother and in a GRAT	
0001179110-08-021684	1491268	Restricted Share Units				5000.0				D			
0001179110-08-021684	1491267	Common Shares				6896552.0				I		By Investment Funds	
0001182489-08-000976	1851494	Common Stock, par value $0.01 per share				1345003.0				I		See Footnotes.	F1, F14, F2, F15, F16, F13
0001182489-08-000976	1851493	Common Stock, par value $0.01 per share				31600.0				D	F1, F5, F2	See Footnotes.	F11, F1, F10, F2
0001182489-08-000976	1851495	Common Stock, par value $0.01 per share				2227159.0				I			
0001179110-08-021683	1952274	Restricted Share Units				5000.0				D			
0001179110-08-021683	1952273	Common Shares				0.0				D			
0001182489-08-000975	1683800	Common Stock, par value $0.01 per share				2227159.0				I			
0001182489-08-000975	1683799	Common Stock, par value $0.01 per share				1345003.0				I		See Footnotes.	F1, F14, F2, F15, F16, F13
0001182489-08-000975	1683798	Common Stock, par value $0.01 per share				31600.0				D	F1, F5, F2	See Footnotes.	F11, F1, F10, F2
0001182489-08-000974	1505753	Common Stock, par value $0.01 per share				1345003.0				I		See Footnotes.	F1, F14, F2, F15, F16, F13
0001182489-08-000974	1505752	Common Stock, par value $0.01 per share				31600.0				D	F1, F5, F2	See Footnotes.	F11, F1, F10, F2
0001182489-08-000974	1505754	Common Stock, par value $0.01 per share				2227159.0				I			
0001179110-08-021682	1799718	Common Shares				1000.0				D			
0001179110-08-021682	1799719	Restricted Share Units				5000.0				D			
0000821189-08-000264	1780495	Common Stock - Phantom				4041.0				D			
0001179110-08-021681	1539717	Restricted Share Units				5000.0				D			
0001179110-08-021681	1539716	Common Shares				15000.0				I			
0001179110-08-021681	1539715	Common Shares				45000.0				D		As General Partner of Little Oak Hill Partnership LLC	
0001179110-08-021680	1563669	Common Shares				1580.0				D			
0001179110-08-021680	1563670	Restricted Share Units				5000.0				D			
0001179110-08-021679	1888359	Restricted Share Units				5000.0				D			
0001179110-08-021679	1888356	Common Shares				8000.0				I		In Trust	
0001179110-08-021679	1888357	Common Shares				12000.0				I		IRA	
0001179110-08-021679	1888358	Common Shares				10000.0				D			
0000950138-08-000979	1615513	Common Stock				532758.0				I		Sanderling IV Biomedical Co-Investment Fund, L.P.	
0000950138-08-000979	1615514	Common Stock				110971.0				I		Sanderling V Beteiligungs GmbH & Co. KG	
0000950138-08-000979	1615515	Common Stock				397164.0				I		Sanderling V Biomedical Co-Investment Fund, L.P.	
0000950138-08-000979	1615516	Common Stock				119566.0				I		Sanderling V Limited Partnership	
0000950138-08-000979	1615517	Common Stock				677906.0				I		Sanderling Venture Partners V Co-Investment Fund, L.P.	
0000950138-08-000979	1615518	Common Stock				224515.0				I		Sanderling Venture Partners IV Co-Investment Fund	
0000950138-08-000979	1615519	Common Stock				828.0				I		Sanderling Ventures Management V	
0000950138-08-000979	1615520	Common Stock				797.0				I		Middleton McNeil Retirement Trust	
0000950138-08-000979	1615521	Common Stock				221786.0				D			
0000950138-08-000979	1615511	Common Stock				781351.0				I		Sanderling Venture Partners II, L.P.	
0000950138-08-000979	1615512	Common Stock				15000.0				I		Sanderling Mgmt. LLC 401K Pension Profit Sharing Plan	
0000821189-08-000262	1901781	Common Stock - Phantom				22017.17				D			
0001179110-08-021678	1565165	Common Shares				18000.0				D			
0001179110-08-021678	1565166	Restricted Share Units				5000.0				D			
0000950138-08-000978	1646881	Common Stock				2225.0				I			
0000950138-08-000978	1646880	Common Stock				175136.0				D		Alafi Family Foundation	
0001276655-08-000005	1809510	Common Stock				500000.0				D			
0001179110-08-021677	1908389	Restricted Share Units				5000.0				D			
0001179110-08-021677	1908388	Common Shares				3000.0				D			
0001179110-08-021676	1801223	Common Shares				0.0				D			
0001179110-08-021676	1801224	Restricted Share Units				5000.0				D			
0000821189-08-000260	1679956	Common Stock - Phantom				95828.67				D			
0000821189-08-000260	1679957	Common Stock				5767.0				I		401(k) Plan	
0001181431-08-070158	1673710	Common Stock				4280900.0				I		By Lowrie Management	F1
0000898173-08-000060	1546185	Common Stock				1838604.0	F1			I		Indirectly as trustee for reporting person's children and in the Company's 401K plan.	
0001225208-08-020057	1621874	Common Stock				7170.04				I		By Savings Plan Trustee	
0001127602-08-011988	1853146	Common Stock				252.0	F1			I		By 401(k)	
0001140361-08-028970	1595025	Common Stock				325729.0	F6			I		By SBL	F3
0001140361-08-028970	1595023	Common Stock				154033.0				I		By Spouse	F1
0001140361-08-028970	1595024	Common Stock				46850.0	F6			I		By GFLLC	F2
0001140361-08-028969	1877702	Common Stock				100.0				D			
0001140361-08-028969	1877701	Common Stock				768795.0				I		See footnote	F7
0001276655-08-000004	1802685	Common Stock				1200000.0				D			
0001181431-08-070154	1654080	Common Stock				13000.0				D			
0001140361-08-028962	1679246	Common Stock				2000.0				D			
0001271163-08-000076	1505731	Common Shares				25767.0				I		By:  Partnership	F2
0001271163-08-000076	1505733	Common Shares				14532.0				I		By:  Limited Liability Co.	F4
0001271163-08-000076	1505734	Common Shares				7174.0				I		By:  Subsidiary	F5
0001271163-08-000076	1505735	Common Shares				50275.0				D			
0001271163-08-000076	1505732	Common Shares				52241.0				I		By:  GGCP, Inc.	F3
0001104659-08-079128	1678465	Common shares without par value				5958.0	F1			I		Profit sharing trust	
0001276655-08-000003	1667805	Common Stock				1500000.0	F1			D			
0001209191-08-067950	1608028	Common Stock				26350.0	F3			D			
0001209191-08-067949	1487866	Common Stock				26350.0	F3			D			
0001193956-08-000007	1577565	Common Stock $.01 Par Value				18625.0				I		401(k) Plan	F2
0001193956-08-000007	1577566	Common Stock $.01 Par Value				9516.0				I		IRA Rollover	
0001140361-08-028959	1698858	Common Stock				18000.0	F1			D			
0001140361-08-028959	1698857	Common Stock				48475.0				I		Residuary Trust	
0000714603-08-000082	1599732	Common Stock				8664.0	F1			I		Held by spouse	
0000049071-08-000082	1850565	Humana Common				9687.0				D			
0001276655-08-000002	1559571	Common Stock				2500000.0				D			
0001246360-08-003336	1773265	Common Stock				3250.0				I		IRA for self	
0000003982-08-000070	1947763	Common Stock				37860.0				I		By Leonard Toboroff P.C. Profit Sharing Trust	F3
0000003982-08-000070	1947764	Common Stock				5001.0				I		By Lenny Corp	F4
0001140361-08-028957	1808518	Common Stock				4587.0	F1			D			
0001209191-08-067935	1928746	Common Stock				666.0				I		Held in 401 (K) Account	
0001209191-08-067935	1928747	Common Stock				953850.0				D			
0000049071-08-000081	1815834	Humana Common				13419.0				I		See Footnote	F1
0000049071-08-000081	1815836	Humana Common				39133.0				I		See Footnote	F3
0000049071-08-000081	1815835	Humana Common				5698.0				I		See Footnote	F2
0000890926-08-000080	1617355	Common Stock				127670.0				D			
0000003982-08-000069	1671172	Common Stock				8000.0				I		By Munawar Hidayatallah SEP IRA	
0000890926-08-000079	1804277	Common				9800.0	F6			D			
0000890926-08-000078	1634522	Common Stock				4150.0				D			
0001181431-08-070151	1923365	COMMON STOCK				10000.0				D			
0001181431-08-070150	1534492	NO SECURITIES BENEFICIALLY OWNED				0.0				D			
0000890926-08-000077	1849423	Common Stock				2000.0	F5			D			
0001181431-08-070149	1637124	NO SHARES ARE BENEFICIALLY OWNED				0.0				D			
0001140361-08-028953	1695034	Common Stock				154033.0				I		By Spouse	F1
0001140361-08-028953	1695035	Common Stock				41695.0	F4			I		By GFLLC	F2
0001140361-08-028953	1695036	Common Stock				305329.0	F4			I		By SBL	F3
0001113436-08-000012	1584043	Class A Common				31500.0	F2			I		Spouse's Trust	
0001181431-08-070147	1768568	NO SHARES ARE BENEFICIALLY OWNED				0.0				D			
0001079719-08-000005	1641415	Class A Common Stock $0.01 par value				2132894.0				D			
0001079719-08-000005	1641417	Class A Common Stock $0.01 par value				7470.0				I		ESP Plan	
0001079719-08-000005	1641416	Class B Common Stock $0.01 par value				6599372.0				D			
0000890926-08-000076	1841686	Common stock				18200.0				D			
0000919574-08-010736	1580090	Ordinary Shares				35100.0				D			
0000919574-08-010736	1580089	Ordinary Shares				446527.0				I		By JAM Special Opportunities Fund, L.P.	F2
0001181431-08-070145	1699768	NO SHARES ARE BENEFICIALLY OWNED				0.0				D			
0001181431-08-070143	1952636	NO SHARES ARE BENEFICIALLY OWNED				0.0				D			
0001181431-08-070142	1919124	NO SHARES ARE BENEFICIALLY OWNED				0.0				D			
0001181431-08-070141	1579248	NO SHARES ARE BENEFICIALLY OWNED				0.0				D			
0001181431-08-070140	1840251	NO SECURITIES BENEFICIALLY OWNED				0.0				D			
0001181431-08-070139	1494208	NO SHARES ARE BENEFICIALLY OWNED				0.0				D			
0001181431-08-070138	1671863	NO SHARES ARE BENEFICIALLY OWNED				0.0				D			
0001140361-08-028951	1856696	Common Units				187.0				I		Spouse	
0001181431-08-070137	1485986	Common Stock				2000.0				D			
0001209191-08-067926	1843742	Common Stock				28526.0				I		By GRAT	
0001209191-08-067926	1843741	Common Stock				582020.0				I	F2	By Trust	
0001209191-08-067926	1843740	Common Stock				492477.0				I	F2	By Foundation	
0001181431-08-070136	1933214	NO SHARES ARE BENEFICIALLY OWNED				0.0				D			
0001071334-08-000008	1935180	Class A Common				36063.0	F2			I		Spouse's Trust	
0001071334-08-000008	1935181	Class A Common				1254.57	F3			I		401(k) Units	
0001181431-08-070134	1528854	NO SHARES ARE BENEFICIALLY OWNED				0.0				D			
0000890926-08-000075	1815956	Common Stock				10000.0				D			
0000890926-08-000073	1942322	Common Stock				5200.0				D			
0000723458-08-000110	1618250	State Bancorp, Inc. Common Stock				5772.43				I		Lise Wilks as Trustee f/b/o David Wilks	
