ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001736130-18-000001	361236	Common Stock				0.0				D			
0001140361-18-016269	355583	Common Stock				182201.0				I		Shares held by Jean-Jacques Bienaime Family Trust	
0000014693-18-000025	360487	Class B Common				5894.0				I		By 401k	
0000014693-18-000025	360489	Class B Common				14267.0	F4			I		Hayes Investments LLC	
0000014693-18-000025	360488	Class B Common				32.93	F3			I		ESPP	
0001127602-18-013142	350124	Common Stock				789420.0				I	F5		
0001127602-18-013142	350123	Common Stock				324541.0				D		By Oakwood Capital, Llc	F5
0000921895-18-001121	297649	Common Stock, par value $0.001 per share				72170.0				I		See Footnote	F1
0001225208-18-006843	339321	Common				125000.0				I			
0001225208-18-006843	339320	Common				2500.0				D		See Footnote 1	F1
0001179110-18-004958	334945	Common Stock				7085.0	F2, F1			D			
0001257171-18-000013	355266	COMMON STOCK				39473.0				I		STC INTERNATIONAL INC	F3
0001257171-18-000013	355265	COMMON STOCK				4467751.0				D		ACTS Biosciences, Inc.	F2
0001257171-18-000013	355267	COMMON STOCK				638801.0				I			
0001144204-18-018347	328277	Common Stock				5000.0				I		By Wife	
0001736122-18-000001	275265	Preferred Stock A				1.0				D			
0001209191-18-022245	285581	Common Stock				1035657.0				I		See Footnote	F3, F2
0001493152-18-004297	350351	Common Stock				10231.0				D		As trustee of the Arthur Noel Dewinter Trust	
0001493152-18-004297	350352	Common Stock				29250.0				I			
0001104659-18-021578	367685	Class A Common Stock				152075.0				I		By Schaepe-Chiu Investments I LP - Fund 1	F3
0000899243-18-008991	292122	Common Stock				3347.0				D	F4		
0001179110-18-004956	308714	Common Stock				28081.0	F1			I		By 401-k Plan	
0001140361-18-016263	315995	Common Stock				532372.0				I		Held by Truchard Foundation, Dr. Truchard is the president.	
0001668244-18-000013	286596	Common Shares				86.0				I		by 401(k)	
0001668244-18-000013	286595	Common Shares (Restricted)				6500.0				D			
0001209191-18-022241	351721	Common Stock				25293.0				I		By LLC	F3
0001209191-18-022241	351720	Common Stock				1201160.0				I		By LLC	F2
0001209191-18-022238	323690	Common Stock				1544911.0				I		By Stockbridge Enterprises, L.P.	F3
0001209191-18-022238	323691	Common Stock				1500.0				I		By Trust	F4
0001104659-18-021569	342626	Common Stock				4494972.0				D			
0001122304-18-000045	364741	Common Stock				158635.0				I		By 2017 GRAT	F3
0001122304-18-000045	364740	Common Stock				295436.0				I		By 2016 GRAT	F2
