ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001144204-09-067123	/s/ Qiang Chen	31-DEC-2009
0001144204-09-067121	/s/ Qing Hai Du	31-DEC-2009
0001144204-09-067119	/s/ Dan Li Zhang	31-DEC-2009
0001144204-09-067117	/s/ James Hu	31-DEC-2009
0001144204-09-067115	/s/ Zuo Sheng Yu	31-DEC-2009
0001144204-09-067113	/s/ Zhong Kui Cao	31-DEC-2009
0001144204-09-067111	/s/ Wen Bing Wang	31-DEC-2009
0001144204-09-067109	/s/ Ross Warner	31-DEC-2009
0001144204-09-067107	/s/ John Wong	31-DEC-2009
0001181431-09-059409	Kim M. Silva, Attorney-in-fact	31-DEC-2009
0001127602-09-026395	Rodney L. Waller by Power of Attorney	31-DEC-2009
0001021462-09-000035	Peter T. Dameris	31-DEC-2009
0001140361-09-030707	/s/ Lars Dalgaard by Julian K. Ong, Attorney-in-Fact	31-DEC-2009
0001209191-09-059229	/S/ Thomas O. McGimpsey (Attorney-in-Fact)	31-DEC-2009
0001127602-09-026394	/s/ Paul A. Mahon under Power of Attorney	31-DEC-2009
0001209191-09-059227	/S/ Thomas O. McGimpsey (Attorney-in-Fact)	31-DEC-2009
0001209191-09-059225	/s/ James P. Glew, Attorney-in-fact for Joseph H. Stegmayer	31-DEC-2009
0001127602-09-026393	/s/ James F. Williams, attorney-in-fact for Mr. Tanger	31-DEC-2009
0001181431-09-059408	/s/Kathryn L. Leach as attorney in fact for Janet Holian	31-DEC-2009
0001127602-09-026390	/s/ Charles E. Baker, attorney-in-fact for Mr. Hayes	31-DEC-2009
0001127602-09-026388	/s/ James F. Williams, attorney-in-fact for Mr. Marchisello	31-DEC-2009
0001127602-09-026386	/s/ Charles E. Baker, attorney-in-fact for Ms. Pauley	31-DEC-2009
0001209191-09-059223	/s/ Menashe R. Frank, attorney in fact	31-DEC-2009
0001127602-09-026384	/s/Ronald E. Christian	31-DEC-2009
0001252865-09-000086	John Freeman	31-DEC-2009
0001181431-09-059407	Alesia Pinney, General Counsel, InfoSpace, Inc., as Attorney-in-Fact James F. Voelker	31-DEC-2009
0001127602-09-026383	/s/ Charles E. Baker, attorney-in-fact for Mr. Hoover	31-DEC-2009
0001204975-09-000035	M Michael Owens (POA)	31-DEC-2009
0001127602-09-026381	/s/ Charles E. Baker, attorney-in-fact for Mr. Friedery	31-DEC-2009
0001427152-09-000449	By: Grace B. Holmes  For: Sheldon R. Erikson	31-DEC-2009
0001047122-09-000169	Dana Ng, Attorney-in-fact	31-DEC-2009
0001209191-09-059220	/s/ Connie B. Brogdon	31-DEC-2009
0001047122-09-000168	Dana Ng, Attorney-in-fact	31-DEC-2009
0001209191-09-059218	/s/ Christopher F. Brogdon	31-DEC-2009
0001209191-09-059216	/s/ Connie B. Brogdon	31-DEC-2009
0001209191-09-059214	/s/ Christopher F. Brogdon	31-DEC-2009
0001209191-09-059212	/s/ Connie B. Brogdon	31-DEC-2009
0001209191-09-059210	/s/ Christopher F. Brogdon	31-DEC-2009
0000919574-09-016953	/s/ Salvatore Muoio+	31-DEC-2009
