ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001140361-18-030802	308993	Common Stock				2327603.0				I		by TSCP V	F2
0001140361-18-030802	308994	Common Stock				290460.0				I		by JPK 2012	F2
0001140361-18-030802	309007	Common Stock				3562388.0				D			
0001140361-18-030802	309006	Common Stock				21858.0				I		by Incentive 2006	F2
0001140361-18-030802	309005	Common Stock				65572.0				I		by Staff 2006	F2
0001140361-18-030802	308995	Common Stock				46701.0				I		by Kellie L. Banks LTT	F2
0001140361-18-030802	308996	Common Stock				354654.0				I		by JPK 2009	F2
0001140361-18-030802	308997	Common Stock				354653.0				I		by MGK 2009	F2
0001140361-18-030802	308998	Common Stock				2235.0				I		by ZSK 2009	F2
0001140361-18-030802	308999	Common Stock				302954.0				I		by JPK 2008	F2
0001140361-18-030802	309000	Common Stock				302954.0				I		by MGK 2008	F2
0001140361-18-030802	309001	Common Stock				302954.0				I		by ZSK 2008	F2
0001140361-18-030802	309002	Common Stock				11317.0				I		by Lotus Capital	F2
0001140361-18-030802	309003	Common Stock				216795.0				I		by Staff 2001	F2
0001140361-18-030802	309004	Common Stock				131144.0				I		by Sr Staff 2006	F2
0001493152-18-009493	297138	Preferred Stock, par value $0.0001 per share				10000000.0				D		By Nature Cell Co. Ltd.	F2
0001493152-18-009493	297137	Common Stock, par value $0.0001 per share				4500000.0				D		By R-Bio Co. Ltd.	F1
0001493152-18-009493	297139	Common Stock, par value $0.0001 per share				2000000.0				I			
0001493152-18-009493	297140	Common Stock, par value $0.0001 per share				2500000.0				I			
0000899243-18-018786	372095	Class A Common Stock				13072.0				I	F4	By IGSB IVP III, LLC	
0001642247-18-000018	386031	Common Stock				7315000.0				D			
0001209191-18-040125	279265	Common Stock				103298.0				D			
0001133228-18-004345	367635	Shares of beneficiary interest				0.0				D			
0001133228-18-004344	296900	Shares of beneficial interest				0.0				D			
0001133228-18-004343	332899	Shares of beneficiary interest				0.0				D			
0001133228-18-004342	290720	Shares of beneficiary interest				0.0				D			
0001133228-18-004341	309401	Shares of beneficiary interest				0.0				D			
0001562151-18-000112	386595	Common Stock				0.0				D			
0001133228-18-004340	333484	Shares of beneficiary interest				0.0				D			
0001133228-18-004339	385161	Shares of beneficiary interest				0.0				D			
0000899243-18-018777	285058	Common Shares				1996.44				I			
0000899243-18-018777	285057	Common Shares				29977.98				D		By Spouse	
0000899243-18-018769	309078	Common Stock				170737.0				I		By the Christopher J. Baldwin Irrevocable Trust	
0000921895-18-002041	284102	Common Stock				10377.0				D			
0000921895-18-002040	337299	Common Stock				967052.0				I		See footnote	F1
0001179110-18-009158	365488	Common Stock				4023.1				I		By Key Executive Stock Deferral Plan	
0001179110-18-009158	365487	Common Stock				138112.0				I		By Trust	
0001179110-18-009158	365490	Common Stock				1569.15				I		By SAIC Retirement Plan	
0001179110-18-009158	365489	Common Stock				1307.97				I		By Management Stock Compensation Plan	
0000921895-18-002039	343535	Common Units, no par value	F1			747938.0				I		By The III Trust	F5
0000921895-18-002039	343534	Common Units, no par value	F1			1519552.0				I		By The II Trust	F4
0000921895-18-002039	343533	Common Units, no par value	F1			91603.0	F3			I		By SPH SPV-I LLC	
