ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001127602-08-007402	/s/ Rumit Kanakia, attorney-in-fact for Omid Kordestani	30-SEP-2008
0000912282-08-001466	/s/ Hal D. Kirby as Attorney-in-Fact for Rick Harold Russell	30-SEP-2008
0001205959-08-000001	By: Gary S. Cullen, Attorney-in-Fact  For: W. Keith Kennedy, Jr.	30-SEP-2008
0001140361-08-022200	/s/Bertil P-H Lundqvist, Attorney-In-Fact	30-SEP-2008
0001140361-08-022200	/s/Mike F. Huang, Attorney-In-Fact	30-SEP-2008
0001127602-08-007401	/s/ Rumit Kanakia, attorney-in-fact for Omid Kordestani	30-SEP-2008
0001140361-08-022198	/s/Bertil P-H Lundqvist, Attorney-In-Fact	30-SEP-2008
0001140361-08-022198	/s/Mike F. Huang, Attorney-In-Fact	30-SEP-2008
0001127602-08-007400	/s/ Rumit Kanakia, attorney-in-fact for Omid Kordestani	30-SEP-2008
0001140361-08-022196	/s/Bertil P-H Lundqvist, Attorney-In-Fact	30-SEP-2008
0001140361-08-022196	/s/Mike F. Huang, Attorney-In-Fact	30-SEP-2008
0001140361-08-022194	/s/Mike F. Huang, Attorney-In-Fact	30-SEP-2008
0001140361-08-022194	/s/Bertil P-H Lundqvist, Attorney-In-Fact	30-SEP-2008
0001140361-08-022191	/s/Mike F. Huang, Attorney-In-Fact	30-SEP-2008
0001140361-08-022191	/s/Bertil P-H Lundqvist, Attorney-In-Fact	30-SEP-2008
0001209191-08-053950	/s/ Kevin C. Tang, as Managing Member of Tang Capital Management, LLC, General Partner	30-SEP-2008
0001209191-08-053950	/s/ Kevin C. Tang, Managing Member	30-SEP-2008
0001209191-08-053950	/s/ Kevin C. Tang	30-SEP-2008
0001144204-08-055433	/s/ Kenneth F. Siebel	30-SEP-2008
0001140361-08-022189	/s/Bertil P-H Lundqvist, Attorney-In-Fact	30-SEP-2008
0001140361-08-022189	/s/Mike F. Huang, Attorney-In-Fact	30-SEP-2008
0001181431-08-054998	/s/ Kathleen M. Salmas, Attorney-in-fact for Lewis W. Coleman	30-SEP-2008
0001181431-08-054997	/s/ Kathleen M. Salmas, Attorney-in-fact for Thomas B. Fargo	30-SEP-2008
0001181431-08-054996	/s/ Kathleen M. Salmas, Attorney-in-fact for Vic Fazio	30-SEP-2008
0001181431-08-054995	/s/ Kathleen M Salmas, Attorney-in-fact for Donald E. Felsinger	30-SEP-2008
0001181431-08-054994	/s/ Kathleen M. Salmas, Attorney-in-fact for Stephen E. Frank	30-SEP-2008
0001181431-08-054993	/s/ Kathleen M. Salmas, Attorney-in-fact for Phillip Frost	30-SEP-2008
0001341522-08-000043	By: Gary V. Klinefelter  For: David R. Bethune	30-SEP-2008
0001181431-08-054992	/s/ Kathleen M. Salmas, Attorney-in-fact for Charles R. Larson	30-SEP-2008
0001181431-08-054991	/s/ Kathleen M. Salmas, Attorney-in-fact for Richard B. Myers	30-SEP-2008
0001181431-08-054990	/s/ Kathleen M. Salmas, Attorney-in-fact for Aulana L. Peters	30-SEP-2008
0001341522-08-000042	By: Gary V. Klinefelter  For: David Barshis	30-SEP-2008
0001181431-08-054989	/s/ Kathleen M. Salmas, Attorney-in-fact for Kevin W. Sharer	30-SEP-2008
0000921895-08-002467	By: Ramius LLC; By: /s/ Owen S. Littman, Authorized Signatory	30-SEP-2008
