ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001868645-22-000001	Joshua Mann	30-SEP-2022
0001868212-22-000002	John Darwin	30-SEP-2022
0001104659-22-104798	/s/ John J. Kirby, Attorney-in-Fact for Ronald J. Wooten	30-SEP-2022
0001104659-22-104797	/s/ John J. Kirby, Attorney-in-Fact for John Clayton Taylor	30-SEP-2022
0001104659-22-104796	/s/ John J. Kirby, Attorney-in-Fact for Daniel Salain	30-SEP-2022
0001104659-22-104795	/s/ John J. Kirby, Attorney-in-Fact for Carl N. Kraus	30-SEP-2022
0001104659-22-104793	/s/ John J. Kirby, Attorney-in-Fact for Andrew R. Jordan	30-SEP-2022
0001104659-22-104792	/s/ John J. Kirby, Attorney-in-Fact for Ronald J. Wooten	30-SEP-2022
0001104659-22-104790	/s/ John J. Kirby, Attorney-in-Fact for John Clayton Taylor	30-SEP-2022
0001104659-22-104789	/s/ John J. Kirby, Attorney-in-Fact for Carl N. Kraus	30-SEP-2022
0001104659-22-104788	/s/ John J. Kirby, Attorney-in-Fact for Andrew R. Jordan	30-SEP-2022
0001104659-22-104787	/s/ John J. Kirby, Attorney-in-Fact for Daniel Salain	30-SEP-2022
0001868205-22-000002	John Darwin	30-SEP-2022
0001209191-22-051688	/s/ Aron R. English	30-SEP-2022
0001209191-22-051688	22NW Fund, LP; By: 22 NW Fund GP, LLC; By: /s/  Aron R. English	30-SEP-2022
0001869931-22-000002	Peter Torres	30-SEP-2022
0001388658-22-000146	/s/ Curt Wvong, attorney in fact	30-SEP-2022
0001140361-22-035564	/s/ Michael Malecek, as Attorney in Fact for Gene G. Kinney	30-SEP-2022
0001140361-22-035563	/s/ Michael Malecek, as Attorney in Fact for Shane M. Cooke	30-SEP-2022
0001140361-22-035562	/s/ Michael Malecek, as Attorney in Fact for Richard T. Collier	30-SEP-2022
0001140361-22-035561	/s/ Michael J. Malecek, as attorney-in-fact for Lars G. Ekman	30-SEP-2022
0001868575-22-000002	Jonathan Summers	30-SEP-2022
0001104659-22-104782	By: /s/ Lisa Coleman, Attorney-in-Fact	30-SEP-2022
0001209191-22-051687	/s/ Jason Wilk	30-SEP-2022
0001104659-22-104781	/s/ Richard Eisenstadt, as Attorney-in-Fact	30-SEP-2022
0001104659-22-104780	/s/ Richard Eisenstadt, as Attorney-in-Fact	30-SEP-2022
0001104659-22-104779	/s/ Kent Tapper, as Attorney-in-Fact	30-SEP-2022
0001104659-22-104778	/s/ Kent Tapper, as Attorney-in-Fact	30-SEP-2022
0001104659-22-104777	/s/ Kent Tapper, as Attorney-in-Fact	30-SEP-2022
