ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001140361-15-013767	611454	Common Stock				25930.0				I		By trust	F2
0001140361-15-013753	688076	Common Stock				27710574.0				I		See footnote	F2, F3
0001140361-15-013752	638116	Common Stock				27710574.0				I		See footnote	F2, F3
0001140361-15-013746	604677	Common Stock				663444.0				I		By trust	F2
0001123292-15-000640	654718	Common Stock				96.0	F3			I		Held by Trustee of Reliance Steel & Aluminum Co. Employee Stock Ownership Plan	
0001123292-15-000639	644608	Common Stock				966.0				I		Held by Trustee of Reliance Steel & Aluminum Co. 401(k) Plan	
0001123292-15-000639	644609	Common Stock				426.0	F3			I		Held by Trustee of Reliance Steel & Aluminum Co. Employee Stock Ownership Plan	
0001123292-15-000638	692920	Common Stock				2611.0	F3			I		Held by Trustee of Reliance Steel & Aluminum Co. Employee Stock Ownership Plan	
0001123292-15-000637	695247	Common Stock				731.0	F3			I		Held by Trustee of Reliance Steel & Aluminum Co. Employee Stock Ownership Plan	
0001123292-15-000637	695248	Common Stock				3244.0				I		Held by Trustee of Reliance Steel & Aluminum Co. 401(k) Plan	
0001123292-15-000636	686870	Common Stock				5671.0	F3			I		Held by Trustee of Reliance Steel & Aluminum Co. Employee Stock Ownership Plan	
0001123292-15-000636	686871	Common Stock				181.0				I		Held by Trustee of Reliance Steel & Aluminum Co. 401(k) Plan	
0001123292-15-000635	615929	Common Stock				12526.0	F3			I		Held by Trustee of Reliance Steel & Aluminum Co. Employee Stock Ownership Plan	
0001123292-15-000634	627459	Common Stock				27896.0	F3			I		Held by Trustee of Reliance Steel & Aluminum Co. Employee Stock Ownership Plan	
0000907242-15-000002	675282	Common Stock				5000.0				D			
0001209191-15-030529	679790	Restricted stock	F8			6706.0				D			
0001209191-15-030529	679791	Restricted stock	F9			45430.0				D			
0001209191-15-030529	679793	Restricted stock	F11			39880.0				D			
0001209191-15-030529	679792	Restricted stock	F10			28027.0				D			
0001209191-15-030528	650323	Restricted stock	F9			43510.0				D			
0001209191-15-030528	650322	Restricted stock	F8			29680.0				D			
0001209191-15-030528	650320	Restricted stock	F6			18870.0				D			
0001209191-15-030528	650321	Restricted stock	F7			50320.0				D			
0001209191-15-030527	628881	Restricted stock	F12			43510.0				D			
0001209191-15-030527	628880	Restricted stock	F11			5810.0				D			
0001209191-15-030527	628878	Restricted stock	F9			45430.0				D			
0001209191-15-030527	628879	Restricted stock	F10			50470.0				D			
0001209191-15-030527	628877	Restricted stock	F8			7041.0				D			
0001209191-15-030526	625265	Restricted stock	F10			33048.0				D			
0001209191-15-030526	625264	Restricted stock	F9			45430.0				D			
0001209191-15-030526	625263	Restricted stock	F8			7041.0				D			
0001209191-15-030526	625266	Restricted stock	F11			6450.0				D			
0001209191-15-030526	625267	Restricted stock	F12			47140.0				D			
0001209191-15-030525	666294	Restricted stock	F11			15000.0				D			
0001209191-15-030525	666293	Restricted stock	F10			46950.0				D			
0001209191-15-030525	666295	Restricted stock	F12			50760.0				D			
0001209191-15-030525	666292	Restricted stock	F9			45430.0				D			
0001209191-15-030525	666291	Restricted stock	F8			7041.0				D			
0001209191-15-030524	623452	Restricted stock	F9			116480.0				D			
0001209191-15-030524	623451	Restricted stock	F8			18205.0				D			
0001209191-15-030524	623453	Restricted stock	F10			120963.0				D			
0001209191-15-030524	623454	Restricted stock	F11			96770.0				D			
0001209191-15-030524	623455	Restricted stock	F12			163160.0				D			
0001209191-15-030523	652120	Restricted stock	F8			22580.0				D			
