ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001763779-22-000001	Thomas E. Moran, POA	30-DEC-2022
0001348352-22-000003	Thomas E. Moran, POA	30-DEC-2022
0001289491-22-000001	Thomas E. Moran, POA	30-DEC-2022
0001498492-22-000001	Thomas E. Moran, POA	30-DEC-2022
0001506293-22-000178	Monifa Clayton, Attorney-in-Fact	30-DEC-2022
0001234538-22-000001	Thomas E. Moran, POA	30-DEC-2022
0001932678-22-000001	Thomas E. Moran, POA	30-DEC-2022
0001506293-22-000177	Monifa Clayton, Attorney-in-Fact	30-DEC-2022
0001740097-22-000001	Thomas E. Moran, POA	30-DEC-2022
0001955367-22-000005	Thomas E. Moran, POA	30-DEC-2022
0001140361-22-047729	/s/ Mark McKechnie	30-DEC-2022
0001446274-22-000003	Thomas E. Moran, POA	30-DEC-2022
0001493152-22-037212	/s/ James O'Grady, Attorney-in-Fact	30-DEC-2022
0001493152-22-037211	/s/ Christopher Minton, Vice President	30-DEC-2022
0001209191-22-063059	/s/ Christian Formica, Attorney-in-Fact	30-DEC-2022
0001209191-22-063057	/s/ Michelle Kley, as Attorney-in-Fact	30-DEC-2022
0001104659-22-131458	/s/ Andrew McCormick, as attorney-in-fact	30-DEC-2022
0001209191-22-063055	/s/ Lisa Taylor as Attorney-in-fact for Richard Mott	30-DEC-2022
0001628280-22-032750	/s/ Sean Ricker	30-DEC-2022
0001493152-22-037210	/s/ Peter Dritschilo	30-DEC-2022
0001628280-22-032748	/s/ Sean Ricker as Attorney-in-Fact for Julie Peffer	30-DEC-2022
0001628280-22-032746	/s/ Carolyn Blankenship	30-DEC-2022
0001628280-22-032744	/s/ Sean Ricker as Attorney-in-Fact for Amanda Long	30-DEC-2022
0001628280-22-032742	/s/ Sean Ricker as Attorney-in-Fact for Dorothy D. Hayes	30-DEC-2022
0001628280-22-032740	/s/ Sean Ricker as Attorney-in-Fact for Raanan Horowitz	30-DEC-2022
0001628280-22-032738	/s/ Sean Ricker as Attorney-in-Fact for Peter Cannito	30-DEC-2022
0001628280-22-032736	/s/ Sean Ricker as Attorney-in-Fact for Pamela Braden	30-DEC-2022
0001469367-22-000199	/s/ Jay Maloney, Attorney-in-Fact	30-DEC-2022
0001628280-22-032734	/s/ Sean Ricker as Attorney-in-Fact for Paul Fulchino	30-DEC-2022
0001628280-22-032732	s/ Sean Ricker	30-DEC-2022
0001740091-22-000002	Thomas E. Moran, POA	30-DEC-2022
0001437749-22-029969	/s/ Edward Berg, Attorney-in-Fact for W. Mark Watson	28-DEC-2022
0001437749-22-029968	/s/ /Edward Berg, Attorney-in-Fact for Phillip E. Lee	30-DEC-2022
0001127602-22-028366	/s/ Andrea L. Stangl, Attorney-in-fact for Michael L. Scudder	30-DEC-2022
0001225208-22-013009	Jeremy D. Siegfried, Attorney-in-Fact	30-DEC-2022
0001567619-22-022178	/s/ Reagan Brown as attorney-in-fact for Stephen Schaefer	30-DEC-2022
0001104659-22-131452	/s/ Faisal Hasan, attorney-in-fact	30-DEC-2022
0001104659-22-131451	/s/ Faisal Hasan, attorney-in-fact	30-DEC-2022
0001567619-22-022177	/s/ Reagan Brown as attorney-in-fact for William Wicker	30-DEC-2022
0001567619-22-022175	/s/ Reagan Brown as attorney-in-fact for Darren Tangen	30-DEC-2022
0000899243-22-039612	/s/ Garner B. Meads, III, as Attorney-in-Fact	30-DEC-2022
0000899243-22-039610	/s/ Garner B. Meads, III	30-DEC-2022
0000899243-22-039609	/s/ Garner B. Meads, III, as Attorney-in-Fact	30-DEC-2022
0001567619-22-022172	/s/ Reagan Brown as attorney-in-fact for Craig Perry	30-DEC-2022
0000899243-22-039608	/s/ Garner B. Meads, III, as Attorney-in-Fact	30-DEC-2022
0001567619-22-022170	/s/ Reagan Brown as attorney-in-fact for Chris Nilan	30-DEC-2022
0001493152-22-037208	/s/ Newell A. Jeffrey	30-DEC-2022
0001567619-22-022168	/s/ Reagan Brown as attorney-in-fact for Darren Moulds	30-DEC-2022
0001567619-22-022165	/s/ Reagan Brown as attorney-in-fact for Michael William McCoy	30-DEC-2022
0001567619-22-022163	/s/ Reagan Brown as attorney-in-fact for Chrystie Holmstrom	30-DEC-2022
0001567619-22-022161	/s/ Reagan Brown as attorney-in-fact for Porter Collins	30-DEC-2022
0001214659-22-015550	/s/ Roland T. Kelly	30-DEC-2022
0001214659-22-015549	/s/ Roland T. Kelly, by power of attorney	30-DEC-2022
0001567619-22-022159	/s/ Reagan Brown as attorney-in-fact for Agenia Clark	30-DEC-2022
0001214659-22-015548	/s/ Roland T. Kelly, by power of attorney	30-DEC-2022
0001567619-22-022157	/s/ Reagan Brown	30-DEC-2022
0001104659-22-131449	/s/ Timothy Maloche, Attorney-in-Fact	30-DEC-2022
0000899243-22-039602	Imperial Capital Asset Management, LLC, By: /s/ Jason Reese, Chairman & CEO	30-DEC-2022
0000899243-22-039602	Long Ball Partners, LLC, By: Imperial Capital Asset Management, LLC, its Managing Member, By: /s/ Jason Reese, Chairman & CEO	30-DEC-2022
0000899243-22-039602	Jason Reese, By: /s/ Jason Reese	30-DEC-2022
0000899243-22-039601	By: /s/ Samuel Heaton Carsley, Attorney-in-fact for Theresa Yanofsky	30-DEC-2022
0001118417-22-000168	Melissa Fisher by Errol Hunter, Attorney-in-Fact	30-DEC-2022
0001654954-22-017099	/s/Jon Brinton	30-DEC-2022
0001654954-22-017097	/s/Ron Vincent	30-DEC-2022
0001193805-22-001817	/s/ Jonathan Isler, Attorney-in-Fact	30-DEC-2022
0001209191-22-063050	/s/ Chetan Shah, by: James B. Frakes, Attorney-in-fact	30-DEC-2022
0001209191-22-063049	/s/ Edward G. Broenniman, by: James B. Frakes, Attorney-in-fact	30-DEC-2022
0001654954-22-017095	/s/Douglas Walter Gaylor	30-DEC-2022
0000899243-22-039598	By: /s/ Samuel Heaton Carsley, Attorney-in-fact for David Angelo Lazzarato	30-DEC-2022
0001199835-22-000875	/s/ Clifton DuBose, Jr.	27-DEC-2022
0000899243-22-039596	By: /s/ Samuel Heaton Carsley, Attorney-in-fact for Judy A. Schmeling	30-DEC-2022
