ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0000076605-17-000122	/s/ Andy L. Nemeth by Joshua A. Boone, attorney-in-fact	29-SEP-2017
0000076605-17-000121	/s/ Todd M. Cleveland by Joshua A. Boone, Attorney-in-fact	29-SEP-2017
0001140361-17-037034	/s/ Thomas Reilly by Jay Wedge, Attorney-in-Fact	29-SEP-2017
0001140361-17-037033	/s/ Wayne Kimber by Jay Wedge, Attorney-in-Fact	29-SEP-2017
0001140361-17-037032	/s/ Jim Frankola by Jay Wedge, Attorney-in-Fact	29-SEP-2017
0001140361-17-037031	/s/ Michael Olson by Jay Wedge, Attorney-in-Fact	29-SEP-2017
0001140361-17-037030	/s/ Michael Olson by Jay Wedge, Attorney-in-Fact	29-SEP-2017
0001209191-17-054462	/s/ John H. Lewis, individually, and as Managing Member of Osmium Partners, LLC, for itself and as General Partner of Osmium Capital, LP, Osmium Capital II, LP, Osmium Spartan, LP, Osmium Diamond, LP and Osmium Special Opportunity Fund, LP	29-SEP-2017
0001443873-17-000011	Donna Spinola, Attorney-in-fact	29-SEP-2017
0001209191-17-054460	/s/ Xing Qun Liao	29-SEP-2017
0001144204-17-050785	/s/ Lawrence Adams	29-SEP-2017
0001541996-17-000022	Marcato International Master Fund, Ltd., By: /s/ Richard McGuire III, Director	29-SEP-2017
0001541996-17-000022	/s/ Richard McGuire III	29-SEP-2017
0001541996-17-000022	Marcato Capital Management LP; By: /s/ Richard McGuire III, Managing Member	29-SEP-2017
0001209191-17-054458	John C. Molina, by Karen I. Calhoun, Attorney-in-Fact	29-SEP-2017
0001104659-17-060019	Tontine Capital Partners, L.P., By: its General Partner, Tontine Capital Management, L.L.C., By: its Managing Member, /s/ Jeffrey L. Gendell	29-SEP-2017
0001104659-17-060019	Tontine Associates, L.L.C., By:  its Managing Member, /s/ Jeffrey L. Gendell	29-SEP-2017
0001104659-17-060019	Tontine Asset Associates, L.L.C., By: its Managing Member, /s/ Jeffrey L. Gendell	29-SEP-2017
0001104659-17-060019	Tontine Capital Overseas Master Fund II, L.P. By: its General Partner, Tontine Asset Associates, L.L.C., By: its Managing Member, /s/ Jeffrey L. Gendell	29-SEP-2017
0001104659-17-060019	Tontine Capital Management, L.L.C., By: its Managing Member, /s/ Jeffrey L. Gendell	29-SEP-2017
