ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001415889-18-001858	/s/ Dayton Judd	31-DEC-2018
0001213900-18-018095	/s/ Craig Foster	31-DEC-2018
0001213900-18-018093	/s/ Jay Krigsman	31-DEC-2018
0001213900-18-018091	/s/ Tim Spengler	31-DEC-2018
0000899243-18-032000	SPE MASTER I, LP, By: RBS Partners, L.P., Its: General Partner, By: ESL Investments, Inc., Its: General Partner, By: /s/ Edward S. Lampert, Name:  Edward S. Lampert, Title: Chief Executive Officer	31-DEC-2018
0000899243-18-032000	SPE I PARTNERS, LP, By: RBS Partners, L.P., Its: General Partner, By: ESL Investments, Inc., Its: General Partner, By:  /s/ Edward S. Lampert, Name:  Edward S. Lampert, Title: Chief Executive Officer	31-DEC-2018
0000899243-18-032000	RBS PARTNERS, L.P., By: ESL Investments, Inc., Its: General Partner, By: /s/ Edward S. Lampert, Name:  Edward S. Lampert, Title: Chief Executive Officer	31-DEC-2018
0000899243-18-032000	ESL INVESTMENTS, INC., By: /s/ Edward S. Lampert, Name:  Edward S. Lampert, Title: Chief Executive Officer	31-DEC-2018
0000899243-18-032000	EDWARD S. LAMPERT, By: /s/ Edward S. Lampert	31-DEC-2018
0000899243-18-032000	ESL PARTNERS, L.P., By: RBS Partners, L.P., Its: General Partner, By: ESL Investments, Inc., Its: General Partner, By: /s/ Edward S. Lampert, Name:  Edward S. Lampert, Title: Chief Executive Officer	31-DEC-2018
0001209191-18-064424	/s/ Adam S. Malamed	31-DEC-2018
0001437749-18-022842	/s/ Sean Edgett, Attorney-in-Fact	31-DEC-2018
0001209191-18-064422	/s/ Apple Palarca	31-DEC-2018
0001562180-18-005132	/s/ Roland O. Burns	31-DEC-2018
0001209191-18-064421	/s/ Connie Kwong, as Attorney-in-Fact	31-DEC-2018
0001287865-18-000028	Emily R. Sawyer, by power of attorney	31-DEC-2018
0001567619-18-008828	Stonepine Capital, L.P., by Timothy P. Lynch, Manager of its General Partner	31-DEC-2018
0001287865-18-000027	Emily R. Sawyer, by power of attorney	31-DEC-2018
0001287865-18-000026	Emily R. Sawyer, by power of attorney	31-DEC-2018
0001567619-18-008827	/s/ Gordon Sangster, Attorney-in-Fact for Thomas R. Baruch	31-DEC-2018
0001595585-18-000031	/s/ Edward J. Hejlek, attorney-in-fact	31-DEC-2018
0001461790-18-000047	/s/ Daniel Gosselin, in his individual capacity	31-DEC-2018
0001461790-18-000047	/s/ Daniel Gosselin, President, K2 & Associates Investment Management Inc.	31-DEC-2018
0001461790-18-000047	/s/ Daniel Gosselin, President, Shawl Kimel Investments Inc.	31-DEC-2018
0001461790-18-000047	/s/ Daniel Gosselin, President, K2 Genpar 2009 Inc.	31-DEC-2018
0001461790-18-000047	/s/ Daniel Gosselin, President, K2 Genpar L.P	31-DEC-2018
0001461790-18-000047	/s/ Daniel Gosselin, President, The K2 Principal Fund L.P.	31-DEC-2018
0001127602-18-037607	/s/ Jennifer F. Rudolph, by Power of Attorney	31-DEC-2018
0001213900-18-018087	/s/ Casey K. McGarvey, Attorney-in-Fact	31-DEC-2018
0001213900-18-018085	/s/ Casey K. McGarvey, Attorney-in-Fact	31-DEC-2018
0001127602-18-037606	/s/ Jennifer F. Rudolph, by Power of Attorney	31-DEC-2018
0001213900-18-018083	/s/ Casey K. McGarvey, Attorney-in-Fact	31-DEC-2018
0001127602-18-037605	/s/ Jennifer F. Rudolph, by power of attorney	31-DEC-2018
0001104659-18-075385	/s/ R. Davis Ravnaas, Limited Partner, Rivercrest Holding LP	31-DEC-2018
0001104659-18-075385	/s/ R. Davis Ravnaas, Principal, Rivercrest Capital Partners LP	31-DEC-2018
0001104659-18-075385	/s/ R. Davis Ravnaas, Managing Member, Rivercrest Capital GP LLC	31-DEC-2018
0001104659-18-075385	/s/ R. Davis Ravnaas, Principal, Rivercrest Capital Management LLC	31-DEC-2018
0001144204-18-066798	Alara Capital AVI II, LLC /s/ Darren C. Wallis, Managing Member	31-DEC-2018
0000899243-18-031999	Yorktown Energy Partners X, L.P., By: Yorktown X Company LP, its general partner, By: Yorktown X Associates LLC, its general partner, /s/ Bryan H. Lawrence, Manager	31-DEC-2018
0001225033-18-000073	Todd R. Moore (by power of attorney)	31-DEC-2018
0000899243-18-031997	Yorktown X Associates LLC, /s/ Bryan H. Lawrence, Manager	31-DEC-2018
0001493152-18-018151	/s/ BRADFORD YOUNG	31-DEC-2018
0001225208-18-017079	/s/ William Baker as Attorney-in-Fact	31-DEC-2018
0001225208-18-017078	/s/ William Baker as Attorney-in-Fact	31-DEC-2018
0001493152-18-018149	/s/ Andrew Drechsler, as attorney-in-fact	31-DEC-2018
0001493152-18-018148	/s/ Andrew Drechsler, as attorney-in-fact	31-DEC-2018
0001493152-18-018147	/s/ Andrew Drechsler, as attorney-in-fact	31-DEC-2018
0001144204-18-066794	/s/ Anthony Coelho	31-DEC-2018
0001510192-18-000140	/s/ Harold W. Andrews, Jr., as Attorney-in-Fact	31-DEC-2018
0001510192-18-000139	/s/ Harold W. Andrews, Jr.	31-DEC-2018
0001510192-18-000138	/s/ Harold W. Andrews, Jr., as Attorney-in-Fact	31-DEC-2018
0001144204-18-066792	/s/ Ernest William Purcell	31-DEC-2018
0001225208-18-017077	/s/ William Baker as Attorney-in-Fact	31-DEC-2018
0001634402-18-000004	/s/ Stan Shaul	31-DEC-2018
0000919574-18-008224	/s/ Steven Boyd	31-DEC-2018
0000919574-18-008224	Armistice Capital Master Fund Ltd., By: /s/ Steven Boyd, Director	31-DEC-2018
0000919574-18-008224	Armistice Capital, LLC, By: /s/ Steven Boyd, Managing Member	31-DEC-2018
0001187618-18-000029	By: Jennifer Painter, CLO For: Jonathan S. Holman	31-DEC-2018
0001144204-18-066790	/s/ Alexandre Zyngier	31-DEC-2018
0001321732-18-000144	/s/ Emma J. Purdy, as attorney-in-fact for Daniel Donen Davis	31-DEC-2018
0001493152-18-018146	/s/ Mark A. Herpich, as Attorney-in-Fact for Richard Ball	31-DEC-2018
0001144204-18-066788	/s/ Carr Bettis	31-DEC-2018
0001096906-18-000705	/s/ Norman Gilbert Wilbur	31-DEC-2018
0001144204-18-066787	/s/ Stephanie Darling, Attorney in Fact for Phillip Goldstein	28-DEC-2018
0001127602-18-037604	/s/ Allan E. Rubenstein, M.D.	28-DEC-2018
0001726978-18-000061	/s/ P. Ryan Langston, as Attorney-in-Fact for Robyn Mary Elizabeth Jones	31-DEC-2018
0001104659-18-075363	SELECT INCOME REIT By: OFFICE PROPERTIES INCOME TRUST (formerly known as Government Properties Income Trust) as successor by merger to Select Income REIT By: David M. Blackman, President and Chief Executive Officer	31-DEC-2018
0001726978-18-000060	/s/ P. Ryan Langston, as Attorney-in-Fact for Mark Evan Jones	31-DEC-2018
0001726978-18-000059	/s/ P. Ryan Langston, as Attorney-in-Fact for Mark & Robyn Jones Descendants Trust 2014	31-DEC-2018
0001726978-18-000058	/s/ P. Ryan Langston, as Attorney-in-Fact for Michael C. Colby	31-DEC-2018
0001209191-18-064414	/s/ Paul D. Tutun, Attorney in Fact	31-DEC-2018
0001209191-18-064413	/s/ John Lemkey, as attorney-in-fact for Michael Hearne	31-DEC-2018
0001209191-18-064413	/s/ John Lemkey	31-DEC-2018
0001209191-18-064413	/s/ Kevin Tang, Managing Member of Tang Capital Management, LLC, General Partner	31-DEC-2018
0001209191-18-064413	/s/ Kevin Tang	31-DEC-2018
0001209191-18-064413	/s/ Kevin Tang, Managing Member	31-DEC-2018
0001562180-18-005131	Denise West, Attorney-in-Fact for Laura Izurieta	31-DEC-2018
0001209191-18-064412	/s/ Tracy Tunney Ward on behalf of Miramar Services, Inc. as Attorney-In-Fact for Charles L. Barmonde	31-DEC-2018
0001214659-18-007866	Janet Lee, Attorney-in-Fact	31-DEC-2018
0001633917-18-000236	By: Brian Yamasaki For: Daniel H. Schulman	31-DEC-2018
0001318568-18-000038	/s/ Harper H. Ko by Todd A. Valli, Attorney-in-Fact	31-DEC-2018
0001209191-18-064411	/s/ Tracy Tunney Ward on behalf of Miramar Services, Inc. as Attorney-In-Fact for Charles E. Scripps Jr.	31-DEC-2018
0001437749-18-022839	/s/ Mary B. Templeton, Esq., as Attorney-in-Fact	31-DEC-2018
0000101199-18-000129	/s/ Barrie W. Ernst by Michael T. Wilkins, Attorney-in-Fact	31-DEC-2018
0001676601-18-000056	/s/ Brian Williams	31-DEC-2018
0001058854-18-000070	/s/ J. Carlo Cannell, on behalf of Cannell Capital LLC	31-DEC-2018
0001626533-18-000006	Richard Norman Jeffs	31-DEC-2018
0001437749-18-022837	/s/ Mary B. Templeton, Esq., as Attorney-in-Fact	31-DEC-2018
0001179110-18-014329	/s/ Robert Mooney, Attorney in Fact	31-DEC-2018
0001209191-18-064410	Andrew Chew, Attorney-in-fact for Toh-Seng Ng	31-DEC-2018
0001642081-18-000129	/s/ Steven F. Retzloff	31-DEC-2018
0001105838-18-000003	/s/ Robert E. Robotti	31-DEC-2018
0000101199-18-000127	/s/ David E. Conner by Michael T. Wilkins, Attorney-in-Fact	31-DEC-2018
0000919574-18-008220	/s/ Sy Jacobs	31-DEC-2018
0000919574-18-008220	JAM Partners, L.P., By: /s/ Sy Jacobs, Managing Member of the General Partner	31-DEC-2018
0000919574-18-008220	JAM Managers, LLC, By: /s/ Sy Jacobs, Managing Member	31-DEC-2018
0000919574-18-008220	Jacobs Asset Management, LLC, By: /s/ Sy Jacobs, Managing Member	31-DEC-2018
0001642081-18-000127	/s/ Paul P. Egge	31-DEC-2018
