ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001082554-06-000111	/s/ Paul A. Mahon under Power of Attorney	29-SEP-2006
0001169232-06-003940	/s/ John Burbank	29-SEP-2006
0001181431-06-055523	/s/ John D. Hellmann, Attorney-in-fact	29-SEP-2006
0000886163-06-000098	By: Barbara J. Olson  For: Jason Aryeh	29-SEP-2006
0001181431-06-055521	/s/ Richard A. Aurelio	29-SEP-2006
0001181431-06-055520	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001219119-06-000221	By:   /s/ David Schellhase, Attorney-in-Fact  For: David Vincent Moellenhoff	28-SEP-2006
0001219119-06-000220	By:   /s/ David Schellhase, Attorney-in-Fact  For: G. Parker Harris	28-SEP-2006
0001219119-06-000219	By:   /s/ David Schellhase, Attorney-in-Fact  For: Marc Benioff	28-SEP-2006
0001219119-06-000218	By:   /s/ David Schellhase, Attorney-in-Fact  For: Marc Benioff	28-SEP-2006
0001219119-06-000217	By:   /s/ David Schellhase, Attorney-in-Fact  For: Marc Benioff	28-SEP-2006
0001181431-06-055511	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001181431-06-055505	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001181431-06-055502	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001337459-06-000072	/s/ Kristi O. Crawford, Attorney-in-Fact	29-SEP-2006
0001181431-06-055501	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001181431-06-055497	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001181431-06-055496	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001181431-06-055495	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001181431-06-055494	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001116502-06-001990	/s/ Bryant Riley	29-SEP-2006
0001104659-06-064192	/s/ Charles E. Baker	29-SEP-2006
0001181431-06-055493	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001181431-06-055492	Stanley C. Ray - Attorney-in-Fact for Theodore W. Waitt	29-SEP-2006
0001181431-06-055491	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001181431-06-055490	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001181431-06-055487	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001181431-06-055486	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001181431-06-055485	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001337459-06-000071	/s/ Kristi O. Crawford, Attorney-in-Fact	29-SEP-2006
0001181431-06-055483	Alan Ku as Attorney-in-Fact for Eric E. Schmidt	29-SEP-2006
0001209191-06-052109	Michael J. Zukerman, Attorney-in-fact	29-SEP-2006
0001116502-06-001988	/s/ Bryant R. Riley	29-SEP-2006
0001116502-06-001987	/s/ Bryant R. Riley	29-SEP-2006
